Protein_A	Protein_B	Score
CDCA8	INCENP	0.999
SF3B1	CDC5L	0.999
SMG9	SMG1	0.999
PRRC2C	SON	0.999
DLGAP5	HMMR	0.999
TP53BP1	BRCA1	0.999
DNMT1	UHRF1	0.999
LIG1	FEN1	0.999
NPM1	NCL	0.999
KIF23	RACGAP1	0.999
RANBP2	NUP214	0.999
SEC16A	SEC24A	0.999
NCAPH	NCAPG	0.999
SMG1	SMG7	0.999
CDC5L	CWC25	0.998
BMS1	NGDN	0.998
BMS1	UTP14A	0.998
SF3B1	RBM17	0.997
ANLN	RACGAP1	0.997
NOP2	FTSJ3	0.997
NGDN	DNTTIP2	0.997
BMS1	RSL1D1	0.996
BMS1	DNTTIP2	0.996
UTP14A	NGDN	0.996
MSH6	BRCA1	0.996
DLGAP5	ASPM	0.994
STIL	CENPJ	0.994
BMS1	EXOSC10	0.992
SSRP1	RTF1	0.992
CWF19L2	CDC5L	0.992
RANBP2	AHCTF1	0.992
EXOSC10	UTP14A	0.99
FTSJ3	RSL1D1	0.99
RANBP2	TPR	0.99
KIF23	ANLN	0.989
RRP1B	RSL1D1	0.987
KIF23	ASPM	0.987
CENPF	ASPM	0.987
LIG1	UHRF1	0.987
UTP14A	DNTTIP2	0.987
TRIM28	DNMT1	0.985
UTP14A	RSL1D1	0.983
DNTTIP2	RSL1D1	0.983
POLD3	FEN1	0.983
NPM1	HJURP	0.983
NOP2	RSL1D1	0.982
E2F8	E2F7	0.981
CASC3	CWC25	0.981
CENPF	MKI67	0.979
DLGAP5	PBK	0.979
TPX2	HMMR	0.979
DLGAP5	TPX2	0.978
KIF23	INCENP	0.977
DLGAP5	TTK	0.977
DLGAP5	CENPF	0.976
COIL	NOLC1	0.976
NPM1	CTCF	0.975
NCAPG	TTK	0.973
NCAPG	ASPM	0.972
ASPM	STIL	0.972
ESPL1	CDCA8	0.972
DPF2	PBRM1	0.971
KIF15	ASPM	0.971
TTK	PBK	0.969
UTP14A	FTSJ3	0.968
CREBBP	BRCA1	0.968
SKA3	CENPF	0.968
SAV1	RASSF1	0.967
CENPF	TTK	0.967
DLGAP5	NUSAP1	0.965
NUP214	AHCTF1	0.965
TPX2	NUSAP1	0.964
HMMR	BRCA1	0.964
NGDN	RSL1D1	0.963
BMS1	FTSJ3	0.963
PTPN12	BCAR1	0.962
CENPF	CDCA8	0.962
ASPM	MKI67	0.962
DLGAP5	CDCA8	0.961
KIF15	TTK	0.961
RPA1	BRCA1	0.96
KIF15	CENPF	0.959
NUP214	TPR	0.958
ASPM	TTK	0.957
KIF20B	RACGAP1	0.954
PBK	NUSAP1	0.954
TPX2	CENPF	0.954
TPX2	MKI67	0.954
KIF23	CDCA8	0.954
TNRC6A	DCP1A	0.953
THOC2	CDC5L	0.953
ATXN2L	ATXN2	0.953
ASPM	PBK	0.951
DLGAP5	KIF23	0.951
NOLC1	RSL1D1	0.95
ASPM	CDCA8	0.95
MSH6	FEN1	0.95
NCAPG	KIF23	0.949
TPX2	ASPM	0.949
CDCA8	NUSAP1	0.949
CENPF	PBK	0.949
NCAPG	TPX2	0.949
TPX2	KIF15	0.948
SMG9	SMG7	0.948
RANBP2	POM121	0.948
DLGAP5	NCAPG	0.948
RB1	KDM5A	0.947
CENPF	HJURP	0.946
DLGAP5	HJURP	0.946
MKI67	HJURP	0.946
BAZ1B	MYBBP1A	0.946
TTK	CDCA8	0.946
BAZ1B	BAZ1A	0.946
TPX2	PBK	0.945
ESPL1	TTK	0.945
RRP1B	FTSJ3	0.945
EXOSC10	DNTTIP2	0.945
CENPF	NUSAP1	0.944
ESPL1	INCENP	0.944
BRCA1	PIAS1	0.943
NPM1	SURF6	0.943
MKI67	NUSAP1	0.943
ASPM	CENPJ	0.942
HCFC1	ASXL2	0.94
ASPM	NUSAP1	0.94
CDC25B	CDC25A	0.938
RRP1B	NOP2	0.937
DLGAP5	KIF15	0.937
TRIM28	UHRF1	0.936
TPX2	TTK	0.935
KIF15	MKI67	0.935
DLGAP5	RACGAP1	0.935
BAZ1B	DEK	0.934
CDCA8	RACGAP1	0.934
NUP214	DEK	0.932
MYBBP1A	DEK	0.932
NCAPG	NUSAP1	0.931
TTK	DEPDC1	0.931
RAD18	TP53BP1	0.931
ASPM	HJURP	0.931
KIF23	CENPF	0.93
CDC25A	BRCA1	0.929
DDX5	HNRNPA1	0.929
TTK	HJURP	0.929
SF3B1	DEK	0.928
RPA1	POLD3	0.928
ASPM	HMMR	0.928
RB1	TP53BP1	0.928
CENPF	HMMR	0.927
HJURP	NUSAP1	0.926
KIF15	NUSAP1	0.926
ESPL1	CENPF	0.926
TTK	NUSAP1	0.926
HAUS6	NUMA1	0.924
NPM1	NOP2	0.924
NCAPG	CENPF	0.924
BRCA1	CDC27	0.923
NPM1	HNRNPA1	0.923
ANLN	TPX2	0.923
MKI67	CDCA8	0.923
CDCA8	HJURP	0.923
SURF6	FTSJ3	0.922
TPX2	BRCA1	0.922
CENPJ	BRCA1	0.92
NCAPG	PBK	0.92
INCENP	RACGAP1	0.92
SF3B1	BAZ1B	0.919
NCAPG	KIF15	0.919
TPX2	CDCA8	0.919
PRRC2C	UBAP2L	0.915
THOC2	TPR	0.914
DLGAP5	ANLN	0.914
CKAP2L	HJURP	0.913
CDCA8	PBK	0.912
MSH6	RPA1	0.91
RRP1B	SURF6	0.909
NCAPG	HMMR	0.909
NCAPG	MKI67	0.908
NCAPH	CDCA8	0.908
SF3B1	MYBBP1A	0.908
HMMR	DEPDC1	0.907
KIF23	TPX2	0.906
TACC3	CDCA8	0.904
HCFC1	TEX10	0.904
MGA	TEX10	0.903
AHCTF1	POM121	0.903
TPX2	DEPDC1	0.903
DLGAP5	MKI67	0.902
PHC2	UBAP2L	0.902
KIF15	CDCA8	0.902
MGA	HCFC1	0.902
PHC2	CDC27	0.901
KIF15	HMMR	0.901
PHC2	BRCA1	0.901
SURF6	RSL1D1	0.901
DDX5	SF3B1	0.901
CRIPT	SF3B1	0.9
ANLN	ASPM	0.9
KIF23	NUSAP1	0.9
PPRC1	HCFC1	0.899
FEN1	RECQL	0.898
DLGAP5	CKAP2L	0.897
HMMR	NUSAP1	0.896
NUMA1	GPSM1	0.896
MKI67	HMMR	0.896
DDX5	DDX3X	0.896
HJURP	PBK	0.896
RAD18	BRCA1	0.895
KIF23	KIF15	0.893
HMMR	PBK	0.893
NCAPH	KIF15	0.892
NUP214	POM121	0.892
TPX2	HJURP	0.892
HJURP	GTSE1	0.889
KIF23	HMMR	0.889
THOC2	ZC3H11A	0.888
NCAPH	TTK	0.886
ANLN	INCENP	0.885
NCL	NOLC1	0.885
KIF23	PBK	0.884
KIF15	KIF20B	0.883
CKAP2L	ASPM	0.883
PNN	CASC3	0.882
NCAPG	HJURP	0.882
TTK	HMMR	0.881
DLGAP5	DEPDC1	0.881
KIF23	MKI67	0.88
ANLN	HMMR	0.88
KIF15	KIF18B	0.88
RAD18	USP1	0.879
HMMR	HJURP	0.878
TMPO	LEMD3	0.876
CCNL2	AKAP12	0.876
PNN	BCLAF1	0.874
RPA1	TP53BP1	0.873
KIF15	PBK	0.873
MYBBP1A	FTSJ3	0.872
NOP2	NOLC1	0.871
SURF6	NGDN	0.871
SKA3	TTK	0.87
SKA3	HMMR	0.87
RACGAP1	NUSAP1	0.869
KIF15	HJURP	0.868
NES	VIM	0.867
NOP2	UTP14A	0.866
KIF23	DEPDC1	0.865
MKI67	TTK	0.865
TPX2	RACGAP1	0.864
MYBBP1A	NOP2	0.864
NCAPG	RACGAP1	0.864
NCAPG	CKAP2L	0.864
CDCA8	HMMR	0.864
HJURP	KIF18B	0.864
BMS1	NOP2	0.863
NCAPH	ASPM	0.862
KIF23	KIF20B	0.861
ASPM	DEPDC1	0.861
KIF23	KIF18B	0.859
NPM1	NUMA1	0.858
RB1	BRCA1	0.858
LIG1	POLD3	0.857
ESPL1	ASPM	0.857
ESPL1	MKI67	0.856
NCAPH	TPX2	0.854
KIF15	DEPDC1	0.854
TCOF1	NOLC1	0.853
RB1	CCNL2	0.853
HCFC1	KMT2B	0.852
NPM1	MYBBP1A	0.85
ESPL1	KIF18B	0.85
TRIM28	NCL	0.849
DEPDC1	PBK	0.849
SMG7	DCP1A	0.847
ANLN	DEPDC1	0.847
TTK	RACGAP1	0.845
DLGAP5	TACC3	0.845
RPA1	FEN1	0.845
ESPL1	HJURP	0.845
CENPF	DEPDC1	0.844
KIF23	HJURP	0.842
RRP1B	NGDN	0.842
ANLN	CENPF	0.842
NGDN	FTSJ3	0.841
CDCA8	KIF18B	0.838
ANLN	CKAP2L	0.837
PPRC1	CDC5L	0.836
RANBP2	INCENP	0.836
MKI67	GTSE1	0.834
KIF23	TTK	0.833
NCL	HNRNPA1	0.832
MAP1B	RASSF1	0.832
DEPDC1	HJURP	0.832
MYBBP1A	RSL1D1	0.831
CENPJ	HYLS1	0.831
NCAPG	CDCA8	0.83
SEC23IP	SEC24A	0.826
NCL	MYBBP1A	0.826
SF3B1	CWC25	0.824
NCAPG	DEPDC1	0.824
NCAPG	KIF20B	0.823
DDX5	CTCF	0.823
C1orf131	UTP14A	0.82
DLGAP5	ESPL1	0.82
CASC3	CDC5L	0.819
ASPM	KIF20B	0.819
DLGAP5	KIF18B	0.818
NCAPH	DLGAP5	0.818
MICALL1	EHD4	0.817
ESPL1	CDC27	0.817
LEMD3	ANKLE2	0.816
RB1	NPM1	0.815
NCAPH	SKA3	0.814
ARHGAP11A	MKI67	0.812
CKAP2L	HMMR	0.812
ANLN	PBK	0.811
ARHGAP11A	CENPF	0.811
ESPL1	TPX2	0.81
KIF15	RACGAP1	0.81
MSH6	LIG1	0.81
ARHGAP11A	ASPM	0.809
C1orf131	NGDN	0.809
HNRNPA1	DDX3X	0.808
BMS1	MYBBP1A	0.808
RPA1	RAD18	0.807
BRCA1	UHRF1	0.806
DLGAP5	INCENP	0.806
C1orf131	BMS1	0.805
RPA1	LIG1	0.804
CDC5L	ORC1	0.804
E2F8	CENPF	0.803
CRIPT	CDC5L	0.801
C1orf131	DNTTIP2	0.801
DLGAP5	ARHGAP11A	0.801
DLGAP5	SKA3	0.801
E2F8	KIF15	0.8
DNMT1	BRCA1	0.799
DLGAP5	E2F8	0.799
RRP1B	UTP14A	0.798
FEN1	HNRNPA1	0.797
SURF6	NOP2	0.797
LEMD3	CDC5L	0.797
ASPM	RACGAP1	0.795
CENPF	RACGAP1	0.795
MKI67	KIF18B	0.791
HMMR	RACGAP1	0.791
TPX2	SKA3	0.791
TRIM28	TP53BP1	0.791
CDC25A	CCNL2	0.791
NCAPH	PBK	0.791
BRCA1	BCLAF1	0.79
ANLN	CDCA8	0.789
NOLC1	FTSJ3	0.788
FOSL1	AHNAK	0.787
TPX2	TACC3	0.786
E2F8	TTK	0.786
RB1	PBRM1	0.785
RANBP2	NUSAP1	0.784
CKAP2L	SKA3	0.784
ABI1	BCAR1	0.783
POLD3	RAD18	0.783
AHCTF1	TPR	0.782
HNRNPA1	ATXN2	0.782
E2F8	MKI67	0.782
RECQL	BRCA1	0.782
MSH6	DNMT1	0.781
NCAPG	SKA3	0.779
DNMT1	CTCF	0.778
TTK	KIF20B	0.777
TP53BP1	PIAS1	0.776
CKAP2L	PBK	0.775
RACGAP1	PBK	0.775
SF3B1	SON	0.774
RRP1B	BMS1	0.774
NPM1	BRCA1	0.773
CDCA8	DEPDC1	0.772
MED1	FTSJ3	0.771
ARHGAP11A	TTK	0.771
E2F8	HJURP	0.771
TTK	CDC27	0.771
ESPL1	KIF23	0.769
E2F8	CDCA8	0.769
RRP1B	NOLC1	0.769
TACC3	RACGAP1	0.768
SURF6	BMS1	0.767
KDM5A	NSD1	0.765
RB1	DNMT1	0.765
DDX5	BRCA1	0.764
RB1	CDC27	0.763
SEC16A	SEC23IP	0.763
PMVK	HMGA1	0.763
TNRC6A	DDX3X	0.762
MKI67	PBK	0.762
ESPL1	KIF15	0.76
PRRC2A	UBAP2L	0.76
PBK	UHRF1	0.758
MKI67	BRCA1	0.757
RACGAP1	DEPDC1	0.757
TPX2	CKAP2L	0.756
RANBP2	CDCA8	0.755
DDX5	PIAS1	0.752
RACGAP1	KIF18B	0.749
CKAP2L	NUSAP1	0.749
PSIP1	NSD1	0.748
DDX5	SON	0.748
CENPF	GTSE1	0.745
ANLN	MKI67	0.745
ARID5B	PBRM1	0.744
CDCA8	UHRF1	0.743
NCAPH	NUSAP1	0.742
TACC3	INCENP	0.742
CREBBP	MED1	0.74
DDX5	TRIM28	0.74
RB1	CUX1	0.739
HNRNPA1	BRCA1	0.737
CKAP2L	CENPF	0.737
CKAP2L	GTSE1	0.736
TACC3	TTK	0.736
DLGAP5	GTSE1	0.736
CDC25A	ORC1	0.735
ASPM	KIF18B	0.733
CDC25B	CENPF	0.73
NCAPG	ESPL1	0.73
RAD18	FEN1	0.73
SMG1	DCP1A	0.729
MKI67	RACGAP1	0.729
RACGAP1	HJURP	0.729
TSC2	TACC3	0.729
RPA1	ORC1	0.729
FEN1	TP53BP1	0.729
NASP	NPM1	0.728
RANBP2	NPM1	0.727
TACC3	PBK	0.726
NPM1	NUP214	0.726
MED1	NR4A1	0.726
MKI67	UHRF1	0.724
E2F7	ASPM	0.724
ATXN2L	DCP1A	0.723
POLD3	BRCA1	0.723
ORC1	REPIN1	0.722
TMPO	ANKLE2	0.721
HAUS6	CENPJ	0.72
KIF20B	KIF18B	0.72
NCAPH	ESPL1	0.719
RB1	ORC1	0.719
PNN	DEK	0.719
BMS1	TEX10	0.718
KIF20B	INCENP	0.718
TRIM28	NPM1	0.718
SMG9	DCP1A	0.717
NCAPH	KIF23	0.716
TRIM28	RRP1B	0.715
KIF20B	CDCA8	0.714
SKA3	DEPDC1	0.714
KIF23	BRCA1	0.713
ANLN	NUSAP1	0.712
DEPDC1	NUSAP1	0.711
TPX2	FEN1	0.709
PSIP1	HMGA1	0.709
CENPF	STIL	0.708
NCAPG	STIL	0.708
ESPL1	RANBP2	0.708
RRP1B	CD3EAP	0.707
NCAPH	ANLN	0.707
CREBBP	CDC27	0.706
MKI67	DEPDC1	0.705
TACC3	CENPF	0.705
FEN1	BRCA1	0.704
FTSJ3	DNTTIP2	0.704
ANLN	TTK	0.704
MCMBP	ORC1	0.704
ESPL1	NUSAP1	0.704
KIF20B	DEPDC1	0.704
ATXN2	DCP1A	0.704
FEN1	ORC1	0.703
NCAPH	KIF18B	0.703
EPN1	SYNRG	0.703
ARHGAP11A	CDCA8	0.702
CREBBP	KDM5A	0.701
NCAPH	MKI67	0.7
SURF6	UTP14A	0.699
TPX2	UHRF1	0.699
ESPL1	CDC25A	0.699
CENPF	KIF18B	0.698
KIF15	ARHGAP11A	0.698
RAD18	PIAS1	0.694
CENPF	KIF20B	0.694
LIG1	DNMT1	0.694
ESPL1	HMMR	0.693
ESPL1	CDC5L	0.693
KIF23	CKAP2L	0.693
NOP2	NGDN	0.692
NCAPH	HJURP	0.692
E2F8	UHRF1	0.692
NUP214	PSIP1	0.691
E2F8	KIF23	0.69
DNTTIP2	CD3EAP	0.69
ASPM	GTSE1	0.689
NCAPH	TACC3	0.689
ESPL1	ORC1	0.689
CDC5L	CDC27	0.688
TPX2	GTSE1	0.687
TACC3	NUSAP1	0.687
CDC5L	DDX3X	0.685
ARHGAP11A	DEPDC1	0.684
CENPF	INCENP	0.684
PRRC2C	PRRC2A	0.684
NPM1	TPR	0.683
NCAPG	UHRF1	0.683
TPX2	KIF18B	0.683
NPM1	RRP1B	0.682
GTSE1	NUSAP1	0.682
USP1	BRCA1	0.682
SSRP1	BRCA1	0.682
SURF6	DNTTIP2	0.682
CDC25A	TP53BP1	0.682
EXOSC10	FTSJ3	0.681
NCAPG	ANLN	0.681
CDC5L	RBM17	0.679
TPX2	INCENP	0.679
COIL	GEMIN5	0.679
LEMD3	SUN1	0.678
MSH6	TP53BP1	0.678
ANLN	HJURP	0.677
NCL	BMS1	0.677
CASC3	DCP1A	0.677
SKA3	PBK	0.675
COIL	CASP8AP2	0.673
SKA3	ASPM	0.673
MED1	BCLAF1	0.673
NCL	RRP1B	0.672
RASSF1	DNMT1	0.669
CKAP2L	CDCA8	0.669
LIG1	TP53BP1	0.669
THOC2	BCLAF1	0.669
POLD3	USP1	0.666
RANBP2	PIAS1	0.664
E2F8	ASPM	0.664
ESPL1	DEPDC1	0.664
RACGAP1	UHRF1	0.664
PBRM1	NSD1	0.663
TTK	STIL	0.662
EXOSC10	NOP2	0.662
CASC3	SMG9	0.662
TTK	KIF18B	0.662
SCAF4	CDC5L	0.661
CASC3	ZC3H11A	0.661
CDC5L	RACGAP1	0.661
ATXN2L	UBAP2L	0.661
DLGAP5	KIF20B	0.66
NCAPH	RACGAP1	0.66
SSRP1	NCL	0.658
ESPL1	ARHGAP11A	0.658
DDX5	FTSJ3	0.658
RRP1B	DNTTIP2	0.657
LASP1	UHRF1	0.656
TMPO	TOR1AIP1	0.655
ARHGAP11A	PBK	0.655
MAP7D1	CLIP1	0.654
CENPF	BRCA1	0.654
CREBBP	CTCF	0.653
CKAP2L	DEPDC1	0.652
CKAP2L	KIF15	0.652
CKAP2L	TTK	0.652
ANLN	KIF20B	0.652
RANBP2	PPFIBP1	0.65
SKA3	CDCA8	0.65
ORC1	CDCA8	0.65
CASC3	SMG1	0.649
GEMIN5	RRP1B	0.649
CASC3	SMG7	0.649
TEX10	UTP14A	0.648
STRN	PPFIBP1	0.646
ANLN	KIF15	0.645
KIF23	UHRF1	0.645
CDCA8	GTSE1	0.643
EXOSC10	RSL1D1	0.642
MPG	LIG1	0.641
ASPM	BRCA1	0.641
TCOF1	CD3EAP	0.64
ANLN	BRCA1	0.639
COIL	NCL	0.639
UHRF1	NUSAP1	0.639
E2F8	KIF18B	0.638
TRIM28	MYBBP1A	0.638
NCL	EXOSC10	0.638
LEMD3	BCLAF1	0.637
RANBP2	ZRANB2	0.637
OSBPL8	ESYT2	0.636
SKA3	KIF15	0.636
KIF23	CDC25A	0.636
RANBP2	PSIP1	0.636
NCAPG	GTSE1	0.636
PRRC2C	SMG1	0.634
EXOSC10	NOLC1	0.633
NCAPG	FEN1	0.633
SON	KDM5A	0.633
E2F8	ESPL1	0.633
CDC25A	FEN1	0.633
ABI1	ABL2	0.632
ANKLE2	CENPJ	0.631
NCL	CTCF	0.631
TMPO	NUSAP1	0.631
TTK	ORC1	0.631
E2F8	NUSAP1	0.63
HNRNPA1	ADAR	0.63
DDX50	FTSJ3	0.63
KIF23	ORC1	0.629
ARHGAP11A	NUSAP1	0.628
NCAPH	HMMR	0.628
MYBBP1A	CD3EAP	0.627
ESPL1	RACGAP1	0.627
TPR	POM121	0.627
NCAPG	TACC3	0.627
TTK	BRCA1	0.627
DDX5	NCL	0.626
DLGAP5	ORC1	0.626
NCAPG	KIF18B	0.626
CDC25A	CDC27	0.626
KIF23	ARHGAP11A	0.625
GTSE1	KIF18B	0.625
SF3B1	HNRNPA1	0.624
KIF23	GTSE1	0.624
RRP1B	MYBBP1A	0.624
E2F8	NCAPG	0.624
SF3B1	BCLAF1	0.623
MED1	RSL1D1	0.623
E2F8	DEPDC1	0.623
TP53BP1	RECQL	0.623
PBK	KIF18B	0.622
CKAP2L	KIF18B	0.622
ESPL1	STIL	0.622
NPM1	CCDC137	0.622
ANLN	ARHGAP11A	0.621
RASSF1	BRCA1	0.621
FEN1	HMMR	0.621
INCENP	BRCA1	0.621
PHC2	TTK	0.621
TACC3	HJURP	0.62
NGDN	CD3EAP	0.62
SKA3	HAUS6	0.62
NOP2	DNTTIP2	0.62
MAP1B	AMBRA1	0.62
NCAPH	CENPF	0.619
NASP	SSRP1	0.619
ARHGAP11A	KIF18B	0.619
DLGAP5	UHRF1	0.618
SKA3	GTSE1	0.618
NCAPG	BRCA1	0.618
THOC2	HNRNPA1	0.618
ARHGAP11A	RACGAP1	0.617
CREBBP	NSD1	0.616
CCNL2	BRCA1	0.616
ABI1	GULP1	0.615
PIAS1	CASP8AP2	0.615
FEN1	TTK	0.615
PRRC2C	ZC3H11A	0.613
THOC2	RANBP2	0.613
SEC16A	AMBRA1	0.612
SORBS3	BCAR1	0.612
NPM1	DEK	0.612
MSH6	SSRP1	0.61
SKA3	HJURP	0.61
TRIM28	NR4A1	0.61
FEN1	NUSAP1	0.609
SKA3	NUSAP1	0.608
E2F8	PBK	0.608
RPA1	USP1	0.606
CCAR2	HNRNPA1	0.606
TRIM28	BRCA1	0.606
TACC3	KIF20B	0.606
NPM1	RSL1D1	0.606
TPX2	NUMA1	0.604
KIF23	E2F7	0.604
NPM1	TEX10	0.604
TNRC6A	KMT2B	0.604
ANLN	SKA3	0.604
NCAPG	ARHGAP11A	0.603
KIF23	TMPO	0.601
ADD3	PSIP1	0.6
PSIP1	KMT2B	0.6
ARHGAP11A	HJURP	0.598
CASC3	CWF19L2	0.598
ESPL1	PBK	0.597
TP53BP1	NUMA1	0.597
NUP214	ABL2	0.597
NCAPH	DEPDC1	0.597
SSRP1	FEN1	0.596
SCAF4	EXOSC10	0.596
HCFC1	BRCA1	0.596
CASC3	BRCA1	0.596
ZNF318	CDC5L	0.595
CKAP2L	MKI67	0.594
PHC2	ASXL2	0.594
KIF18B	NUSAP1	0.594
TACC3	GTSE1	0.594
PRRX1	NSD1	0.594
DEPDC1	KIF18B	0.592
DDX5	MYBBP1A	0.592
NUP214	NSD1	0.592
TRIM28	SSRP1	0.592
ASPM	INCENP	0.59
TRIM28	NUMA1	0.589
INCENP	KIF18B	0.589
CDC25A	HMMR	0.589
TTK	INCENP	0.588
E2F8	HMMR	0.588
ESPL1	TACC3	0.588
TSC2	CCNL2	0.588
RRP1B	TEX10	0.587
MAP4	CLIP1	0.587
SKA3	MKI67	0.587
CASC3	NUP214	0.587
NASP	ORC1	0.585
HNRNPA1	CDC5L	0.585
NCAPH	INCENP	0.584
E2F8	ARHGAP11A	0.584
MGA	KMT2B	0.584
UTP14A	NOLC1	0.584
KIF20B	NUSAP1	0.583
PRRX1	PSIP1	0.583
HJURP	UHRF1	0.583
ESPL1	FEN1	0.583
E2F8	TPX2	0.582
KDM5A	KMT2B	0.582
STRN	RANBP2	0.58
SURF6	MYBBP1A	0.58
EXOSC10	DHX30	0.58
E2F8	CDC25A	0.58
THOC2	NUP214	0.58
THOC2	SF3B1	0.579
E2F7	TTK	0.579
LIG1	ORC1	0.579
CREBBP	HMGA1	0.578
CENPF	UHRF1	0.578
ASXL2	UBAP2L	0.577
GEMIN5	NOLC1	0.577
TPX2	STIL	0.577
PPFIBP1	LMO7	0.577
ESPL1	AHCTF1	0.576
RANBP2	SON	0.576
RPA1	CDC5L	0.576
PNN	SF3B1	0.575
PTPN12	ABL2	0.575
TRIM28	CCAR2	0.575
KIF15	CENPJ	0.574
FEN1	CDCA8	0.574
KDM5A	SMG1	0.574
TPR	CDC5L	0.573
NPM1	FTSJ3	0.573
UTP14A	CD3EAP	0.573
TTK	GTSE1	0.572
LIG1	RECQL	0.572
NPM1	HMGA1	0.572
STRN	LMO7	0.571
MYBBP1A	UTP14A	0.571
RRP1B	BAZ1B	0.57
MAP1B	MAP4	0.57
TACC3	MKI67	0.569
E2F7	CDCA8	0.569
ASPM	UHRF1	0.569
KIF20B	BRCA1	0.568
SURF6	CD3EAP	0.568
TPR	BCLAF1	0.568
SURF6	NOLC1	0.567
TACC3	BRCA1	0.566
CDC25A	CDCA8	0.566
MSH6	CDC25A	0.566
DLGAP5	E2F7	0.565
THOC2	CASC3	0.564
STRN	TPR	0.564
RBM17	ATXN2	0.564
TRIM28	HCFC1	0.564
DDX5	NUP214	0.564
ESPL1	ANLN	0.564
BAZ1B	CD3EAP	0.564
NCL	UTP14A	0.563
CREBBP	DDX3X	0.563
RRP1B	DDX50	0.563
MED1	RRP1B	0.563
NCL	TP53BP1	0.563
CREBBP	TNRC6A	0.56
NPM1	PPFIBP1	0.56
DHX30	DDX3X	0.56
BCLAF1	DDX3X	0.56
SUN1	BRCA1	0.558
MGA	SMG1	0.558
RANBP2	LMO7	0.558
SON	BCLAF1	0.557
NPM1	MKI67	0.557
E2F7	PBK	0.557
DLGAP5	HAUS6	0.557
ANLN	TMPO	0.556
PNN	CWF19L2	0.555
TTK	UHRF1	0.554
TMPO	HP1BP3	0.554
MSH6	SAV1	0.553
TACC3	ASPM	0.553
TPX2	ARHGAP11A	0.553
KIF15	STIL	0.552
RACGAP1	BRCA1	0.552
CDC25A	E2F7	0.552
ESPL1	UHRF1	0.551
TPX2	ORC1	0.551
CWF19L2	HNRNPA1	0.551
KIF15	UHRF1	0.551
KIF15	GTSE1	0.55
PRRC2C	BCLAF1	0.55
TMPO	DEK	0.55
HNRNPA1	NOLC1	0.549
DPF2	RB1	0.549
KIF23	STIL	0.549
NPM1	CDC25A	0.549
TEX10	KMT2B	0.548
LEMD3	AHCTF1	0.548
LIG1	BRCA1	0.547
TEX10	EXOSC10	0.547
MED1	NOP2	0.547
KDM5A	PBRM1	0.547
DDX5	RSL1D1	0.547
CDC25A	MKI67	0.547
NCAPG	E2F7	0.546
TRIM28	CTCF	0.546
CREBBP	TP53BP1	0.545
CREBBP	RB1	0.545
RANBP2	CENPF	0.544
CENPF	NUMA1	0.544
E2F7	CENPF	0.544
ESPL1	CCNL2	0.544
FEN1	UHRF1	0.543
NCAPH	ARHGAP11A	0.543
NPM1	LMO7	0.543
TACC3	HAUS6	0.542
ASPM	ORC1	0.541
ANLN	UHRF1	0.541
KIF23	TACC3	0.541
NCAPG	CDC25A	0.541
DLGAP5	FEN1	0.541
MKI67	KIF20B	0.541
THOC2	TP53BP1	0.54
SSRP1	NPM1	0.54
CDC5L	BCLAF1	0.54
BRCA1	NUSAP1	0.54
RRP1B	MKI67	0.539
SSRP1	CDC5L	0.539
CASC3	POM121	0.538
TPR	LMO7	0.538
