Protein_A	Protein_B	Score
TSC2	SMG1	0.537
CDC25A	PBK	0.537
PPRC1	NOP2	0.536
NCAPH	KIF20B	0.536
BCLAF1	ZC3H11A	0.535
SF3B1	TP53BP1	0.534
DDX5	RRP1B	0.534
DDX5	ADAR	0.533
NASP	TMPO	0.533
ESPL1	CLIP1	0.533
CDC25B	CCNL2	0.533
BAZ1B	PBRM1	0.533
RANBP2	ZC3H11A	0.532
PPFIBP1	TPR	0.532
DDX5	EXOSC10	0.531
NPM1	DDX3X	0.531
KIF23	CDC5L	0.531
RRP1B	EXOSC10	0.531
STRN	NPM1	0.53
BMS1	CD3EAP	0.53
CDC25A	TTK	0.529
MPG	FEN1	0.529
HNRNPA1	BCLAF1	0.529
CDCA8	CCNL2	0.529
SAP130	DNMT1	0.529
TACC3	HMMR	0.527
CUX1	NES	0.526
KIF23	NGDN	0.526
E2F8	RB1	0.526
SURF6	EXOSC10	0.526
E2F7	MKI67	0.525
BMS1	NOLC1	0.525
MKI67	INCENP	0.525
ESPL1	GTSE1	0.524
ORC1	STIL	0.524
GTSE1	PBK	0.524
KIF23	SKA3	0.523
MED1	BRCA1	0.523
DNMT1	VIM	0.523
E2F8	ANLN	0.522
SF3B1	TPR	0.522
KIF20B	HMMR	0.522
ANKLE2	STIL	0.522
SF3B1	CD3EAP	0.521
HNRNPA1	TP53BP1	0.521
DNMT1	BAZ1A	0.52
CREBBP	BAZ1B	0.52
NCAPH	CKAP2L	0.52
SKA3	RACGAP1	0.52
DLGAP5	CDC25A	0.519
KIF15	BRCA1	0.519
DDX5	COIL	0.519
USP1	DEK	0.518
E2F8	BRCA1	0.517
DLGAP5	STIL	0.517
CDC25A	KIF15	0.517
PPP1R13B	RASSF1	0.517
NCAPH	FEN1	0.517
DDX50	RSL1D1	0.516
STAU2	ATXN2	0.516
ASPM	NUMA1	0.516
DEPDC1	GTSE1	0.515
RB1	E2F7	0.515
INCENP	PBK	0.514
CDC25A	CENPF	0.514
NSD1	CTCF	0.514
SKA3	KIF18B	0.514
MCMBP	UHRF1	0.513
CD3EAP	DEK	0.513
ANLN	NUMA1	0.513
CENPF	LMO7	0.513
CDC25B	CDCA8	0.512
DDX5	FOSL1	0.512
CDC25A	RACGAP1	0.511
DDX50	EIF2B4	0.51
SURF6	DDX50	0.51
TPR	SUN1	0.509
PHC2	GATAD2A	0.509
TRPS1	GATAD2A	0.509
SLAIN2	CLIP1	0.509
ORC1	INCENP	0.507
FEN1	RACGAP1	0.507
STIL	DEPDC1	0.506
EXOSC10	NGDN	0.506
TPX2	CDC25A	0.505
TMPO	SF3B1	0.505
TP53BP1	CCNL2	0.505
MED1	KDM5A	0.504
CASC3	RANBP2	0.504
CASC3	TPR	0.504
RTF1	CDC27	0.504
MCMBP	FAM117B	0.504
TMPO	USP1	0.503
CDC5L	BRCA1	0.503
E2F8	GTSE1	0.503
NCAPH	UHRF1	0.503
ANKLE2	ASPM	0.502
NASP	FEN1	0.502
DDX5	CWF19L2	0.501
CDCA8	DDX3X	0.501
SUN1	TOR1AIP1	0.5
CDC25A	GTSE1	0.5
NPM1	POM121	0.499
KIF18B	UHRF1	0.499
KIF15	ORC1	0.499
PHC2	TNRC6A	0.499
ORC1	PBK	0.498
E2F8	RACGAP1	0.498
INCENP	NUSAP1	0.498
CDC5L	DHX30	0.498
TEX10	TP53BP1	0.498
CCAR2	BRCA1	0.498
PRRX1	ADD3	0.497
DDX5	CDC5L	0.497
HMMR	GTSE1	0.496
CDC5L	DDX50	0.496
TP53BP1	UHRF1	0.495
NES	TCOF1	0.495
TSC2	NGDN	0.495
DCP1A	DDX3X	0.493
FEN1	DNMT1	0.493
NPM1	NOLC1	0.492
TEX10	NGDN	0.492
TMPO	KIF20B	0.492
RTF1	NUMA1	0.492
NOLC1	CD3EAP	0.492
PKN2	MYO9B	0.492
MSH6	BAZ1B	0.492
NCL	ATXN2	0.491
FEN1	INCENP	0.491
DDX50	BMS1	0.49
MED1	TP53BP1	0.489
PRRC2A	ATXN2L	0.489
DLGAP5	NUMA1	0.489
LIG1	RAD18	0.489
TRIM28	RANBP2	0.489
SSRP1	GATAD2A	0.487
INCENP	HMGA1	0.487
FTSJ3	EIF2B4	0.487
CENPJ	NUMA1	0.487
CDC25A	CDC5L	0.487
STIL	NUSAP1	0.487
THOC2	ZRANB2	0.487
CENPF	CENPJ	0.486
RANBP2	CDC5L	0.486
CREBBP	CUX1	0.485
TRIM28	PRRC2A	0.485
PPRC1	NOLC1	0.485
RPA1	NPM1	0.484
ORC1	UHRF1	0.484
TSC2	NASP	0.483
NASP	KIF23	0.483
HNRNPA1	DHX30	0.482
CREBBP	DNMT1	0.482
MED1	PBRM1	0.482
SON	TCOF1	0.481
GEMIN5	NCL	0.481
RANBP2	GEMIN5	0.481
SKA3	UHRF1	0.481
ANLN	GTSE1	0.481
COIL	RBM17	0.481
UBAP2L	ATXN2	0.481
E2F8	ORC1	0.48
NCAPH	STIL	0.48
SSRP1	BAZ1A	0.48
CREBBP	KMT2B	0.48
BAZ1B	BMS1	0.48
MAP4	MAP7D1	0.48
KIF20B	PBK	0.48
CCAR2	CEP170	0.48
GULP1	SIPA1L1	0.48
E2F7	HJURP	0.479
RRP1B	DDX3X	0.479
NCAPH	ORC1	0.479
COIL	CDC5L	0.479
ANLN	MYO9B	0.479
TRIM28	DHX30	0.479
GEMIN5	UTP14A	0.479
DDX50	NOP2	0.478
NCAPG	BAZ1A	0.478
ADD3	NSD1	0.478
ADAR	DDX3X	0.478
NCL	TPR	0.478
POLD3	DNMT1	0.477
FEN1	KIF15	0.476
EXOSC10	EIF2B4	0.476
ZRANB2	BCLAF1	0.475
HNRNPA1	DEK	0.475
HMMR	UHRF1	0.474
TFAP4	CTCF	0.474
FEN1	MKI67	0.474
E2F7	UHRF1	0.474
MKI67	VIM	0.474
ANLN	LMO7	0.474
RANBP2	NUMA1	0.474
MED1	CDCA8	0.474
ORC1	BRCA1	0.474
DDX5	NOP2	0.474
NPM1	NSD1	0.474
CKAP2L	E2F7	0.473
DDX5	SSRP1	0.473
CREBBP	FOSL1	0.473
STIL	HJURP	0.473
CDC25A	UHRF1	0.473
ATXN2	DDX3X	0.473
FOSL1	BRCA1	0.473
ARHGEF17	ANLN	0.472
ANLN	E2F7	0.472
SMG1	DDX3X	0.471
HCFC1	ATXN2L	0.471
STIL	PBK	0.471
TPX2	KIF20B	0.471
ASPM	HAUS6	0.471
TACC3	KIF18B	0.47
GEMIN5	TPR	0.47
CASC3	STAU2	0.469
CENPF	CHAMP1	0.469
OSBPL8	RECQL	0.469
CREBBP	PIAS1	0.468
RANBP2	MAP4	0.468
DNMBP	MAP7D1	0.468
MSH6	RECQL	0.467
MSH6	POLD3	0.467
MSH6	UHRF1	0.467
CCDC137	C1orf131	0.467
CKAP2L	STIL	0.466
MSH6	RAD18	0.466
ADD3	AKAP12	0.466
ESPL1	NUMA1	0.465
ADAR	CTNND1	0.465
ORC1	RACGAP1	0.465
TMPO	SUN1	0.465
SKA3	ARHGAP11A	0.465
PHLDA2	CTCF	0.465
RANBP2	SUN1	0.465
TRIM28	CREBBP	0.465
CDCA8	CDC27	0.465
SF3B1	DDX3X	0.464
PSIP1	DEK	0.464
TPR	INCENP	0.464
NPM1	TNRC6A	0.463
HP1BP3	RSL1D1	0.463
TACC3	CEP170	0.463
STIL	CDCA8	0.463
SKA3	STIL	0.463
SAP130	TP53BP1	0.462
TEX10	RSL1D1	0.461
SSRP1	NOLC1	0.461
NOP2	CD3EAP	0.461
TPX2	HAUS6	0.461
STRN	ASXL2	0.461
PCYT1A	VIM	0.461
TPR	ZC3H11A	0.46
HNRNPA1	PRRC2A	0.46
THOC2	PRRC2C	0.46
BMS1	DHX30	0.46
NCAPH	E2F8	0.46
RASSF1	PBRM1	0.46
ANLN	TACC3	0.46
CDC25B	ESPL1	0.46
FEN1	HJURP	0.459
MSH6	MCMBP	0.459
BAZ1B	DNMT1	0.459
MSH6	ESPL1	0.458
CCDC137	RRP1B	0.457
KIF15	TACC3	0.457
CASC3	BCLAF1	0.457
CREBBP	NUP214	0.457
NCL	MKI67	0.457
INCENP	POM121	0.457
DDX5	UTP14A	0.457
DDX5	DHX30	0.457
PRRC2C	DDX3X	0.456
CDC25A	ASPM	0.456
PPRC1	CWC25	0.456
FEN1	GTSE1	0.456
GEMIN5	NUP214	0.455
CREBBP	GATAD2A	0.455
DDX5	BMS1	0.455
ANLN	CDC5L	0.455
PBRM1	BRCA1	0.455
MED1	SON	0.455
ESPL1	CENPJ	0.454
MSH6	CDC25B	0.454
NUP214	UBAP2L	0.454
CCNL2	CDC27	0.454
RANBP2	NEDD4L	0.453
NASP	CDCA8	0.453
MYBBP1A	DHX30	0.453
ARHGEF17	REPIN1	0.452
UBAP2L	SMG7	0.452
TRIM28	LIG1	0.452
TPR	CDCA8	0.452
CCAR2	AMBRA1	0.452
E2F7	KIF15	0.451
THOC2	POM121	0.451
TRIM28	RPA1	0.451
PRRC2C	TPR	0.451
TSC2	BRCA1	0.451
TMPO	CENPF	0.451
ZNF609	TP53BP1	0.451
LMO7	AHNAK	0.45
HJURP	CTCF	0.45
NASP	CENPF	0.45
MKI67	STIL	0.45
NPM1	BMS1	0.45
ESPL1	KIF20B	0.45
KIF23	FEN1	0.449
MYBBP1A	NOLC1	0.449
FEN1	PBK	0.449
KIF15	DEK	0.449
E2F7	BRCA1	0.449
SPTY2D1	MPHOSPH8	0.449
TSC2	AMBRA1	0.449
MPG	UHRF1	0.448
MSH6	E2F7	0.447
NUP214	ZC3H11A	0.447
DDX5	CREBBP	0.447
DDX5	NGDN	0.446
ANLN	KIF18B	0.445
MSH6	KIF23	0.445
TRIM28	FEN1	0.445
DLGAP5	BRCA1	0.444
CDC5L	CCNL2	0.444
SKA3	INCENP	0.444
RACGAP1	GTSE1	0.444
COIL	RRP1B	0.443
MSH6	NSD1	0.443
TMPO	LIMCH1	0.443
NOSIP	TP53BP1	0.443
BRCA1	CTCF	0.443
ASXL2	SMG1	0.443
FOSL1	NR4A1	0.442
USP1	CASP8AP2	0.442
GTSE1	BRCA1	0.442
THOC2	EXOSC10	0.442
NOP2	EIF2B4	0.442
TRIM28	RAD18	0.442
E2F7	HMMR	0.441
UBAP2L	AMBRA1	0.44
DLGAP5	NASP	0.44
STIL	HMMR	0.44
PNN	CDC5L	0.439
ESPL1	SKA3	0.439
BRCA1	PBK	0.439
ZFAND3	WIZ	0.439
ARHGAP11A	KIF20B	0.439
TDRKH	UHRF1	0.439
SON	NUP214	0.439
LIG1	SSRP1	0.438
CDC25A	SKA3	0.438
AHCTF1	CDC27	0.437
E2F8	FEN1	0.437
WIZ	CHAMP1	0.437
NASP	HJURP	0.437
FEN1	DEPDC1	0.436
RB1	HAUS6	0.436
CASC3	SF3B1	0.436
E2F7	RACGAP1	0.436
TACC3	UHRF1	0.436
NASP	DEK	0.436
CEP170	HAUS6	0.435
FEN1	CENPF	0.435
NCAPH	CDC25A	0.435
DDX50	DDX3X	0.435
CKAP2L	UHRF1	0.435
CDC5L	BMS1	0.435
BMS1	TCOF1	0.435
CDCA8	POM121	0.434
PROSER1	TOR1AIP1	0.434
NASP	TACC3	0.434
STIL	BRCA1	0.434
SON	PSIP1	0.434
RB1	UHRF1	0.434
HCFC1	PSIP1	0.433
PBRM1	SMG1	0.433
ADAR	SMG7	0.433
ARHGAP11A	HMMR	0.433
NCL	SURF6	0.433
MAP1B	VIM	0.433
UTP14A	DHX30	0.433
HMMR	KIF18B	0.433
KIF20B	CENPJ	0.433
RB1	HMGA1	0.433
FEN1	ASPM	0.432
NUMA1	INCENP	0.432
DNMT1	NSD1	0.431
GEMIN5	DDX3X	0.431
POLD3	TP53BP1	0.431
VAC14	SEC16A	0.431
E2F8	STIL	0.431
CKAP2L	RACGAP1	0.43
BAZ1B	PSIP1	0.43
ANLN	CDC25A	0.43
DNMT1	KDM5A	0.43
COIL	TEX10	0.43
USP1	TP53BP1	0.429
GEMIN5	NGDN	0.429
CREBBP	DEK	0.429
GATAD2A	UBAP2L	0.429
NCL	ATXN2L	0.429
DLGAP5	TMPO	0.429
LIG1	MCMBP	0.428
SKA3	TACC3	0.428
GEMIN5	POM121	0.428
KIF23	NSD1	0.427
PTPN12	NUP214	0.427
ESPL1	BRCA1	0.427
TMPO	HMMR	0.427
NCAPH	E2F7	0.427
NGDN	ATXN2	0.427
NUP214	INCENP	0.426
PNN	SMG9	0.426
RB1	CDC25A	0.426
E2F7	DEPDC1	0.425
TSC2	PBRM1	0.424
HMGA1	CTCF	0.424
UBASH3B	ABI1	0.424
EXOSC10	CD3EAP	0.423
NASP	USP1	0.423
NUP214	CDCA8	0.423
TRIM28	MPHOSPH8	0.423
TMPO	CKAP4	0.423
MED1	NSD1	0.423
NUMA1	CLIP1	0.423
C5orf30	NUSAP1	0.422
ORC1	HJURP	0.422
FEN1	KIF18B	0.422
MSH6	NASP	0.422
FEN1	CTCF	0.422
HNRNPA1	RBM17	0.422
NASP	UHRF1	0.421
UBAP2L	BCLAF1	0.421
TPX2	E2F7	0.421
RRP1B	HNRNPA1	0.42
ANLN	ORC1	0.42
NASP	NCL	0.42
CDC5L	EXOSC10	0.42
ADD3	NUP214	0.42
AHCTF1	INCENP	0.42
SEC16A	SMG7	0.419
TMPO	ABI1	0.418
E2F8	KIF20B	0.418
ANLN	PKN2	0.418
SON	SMG1	0.418
PPRC1	TEX10	0.417
STIL	RACGAP1	0.417
SF3B1	ZNF318	0.417
ZC3H11A	CTCF	0.417
CDC25A	DHX30	0.417
RANBP2	BMS1	0.416
TMPO	FEN1	0.416
UTP14A	DDX3X	0.416
EXOSC10	DCP1A	0.416
CEP170	ASPM	0.416
ESPL1	CKAP2L	0.415
ESPL1	RB1	0.415
CDC25A	NUSAP1	0.415
HAUS6	NUSAP1	0.415
USP1	KIF20B	0.415
ESPL1	E2F7	0.414
CREBBP	ABL2	0.414
SKA3	BRCA1	0.414
ORC1	NUSAP1	0.414
NCL	CDC27	0.414
CTNND1	BCAR1	0.414
RAD18	BAZ1B	0.414
SLAIN2	TACC3	0.414
PPRC1	SF3B1	0.414
DDX5	ATXN2	0.414
SKA3	ORC1	0.413
TSC2	MSH6	0.413
LIG1	INCENP	0.413
MYBBP1A	NGDN	0.413
NCAPG	INCENP	0.412
CREBBP	CCAR2	0.412
NCL	CD3EAP	0.412
NCAPH	GTSE1	0.412
PPRC1	MYBBP1A	0.412
RRP1B	TTK	0.412
PNN	THOC2	0.411
RANBP2	SMG1	0.41
DDX3X	CTCF	0.41
ARHGAP11A	STIL	0.41
RANBP2	BCLAF1	0.409
DDX5	TMPO	0.409
DDX50	NGDN	0.409
CKAP2L	BRCA1	0.408
USP1	UHRF1	0.408
CENPF	ORC1	0.408
NASP	CASP8AP2	0.408
TMPO	ADD3	0.408
KIF20B	UHRF1	0.407
INCENP	KDM5A	0.407
RSL1D1	DDX3X	0.407
NSD1	DDX3X	0.407
TUT1	EXOSC10	0.407
SSRP1	CD3EAP	0.407
ESPL1	MAP4	0.406
MSH6	TTK	0.406
MSH6	TRIM28	0.406
SON	DDX3X	0.405
POM121	ZC3H11A	0.405
SSRP1	RRP1B	0.405
TP53BP1	HMMR	0.405
ADD3	TOR1AIP1	0.405
TPR	PBRM1	0.405
RRP1B	CDCA8	0.405
GEMIN5	HNRNPA1	0.405
LASP1	DNMT1	0.405
CREBBP	CDC25A	0.404
INCENP	HJURP	0.404
RB1	MCMBP	0.404
NCAPH	DDX3X	0.404
DDX5	KIF23	0.404
THOC2	DDX3X	0.403
NASP	TTK	0.403
ADAR	TP53BP1	0.403
TRIM28	BAZ1B	0.403
ANLN	SSRP1	0.403
RPA1	RECQL	0.403
LEMD3	TOR1AIP1	0.403
NSD1	SMG1	0.402
KIF23	NOLC1	0.402
PNN	HNRNPA1	0.402
SEC16A	UBAP2L	0.402
E2F7	ARHGAP11A	0.402
DNMT1	NOP2	0.402
THOC2	RRP1B	0.402
SCAF4	RRP1B	0.402
TMPO	CDCA8	0.401
DDX50	DHX30	0.401
NCAPG	LIG1	0.401
TMPO	AKAP12	0.401
ANLN	NOLC1	0.401
PBRM1	CTCF	0.401
NCL	DDX3X	0.4
NUMA1	BRCA1	0.4
RB1	PPRC1	0.4
PHC2	CASP8AP2	0.4
MSH6	PSIP1	0.4
AKAP12	TOR1AIP1	0.4
HJURP	BRCA1	0.4
CEP170	CENPJ	0.4
SF3B1	ZC3H11A	0.4
GATAD2A	WIZ	0.4
KIF23	RAD18	0.399
PPRC1	CWF19L2	0.399
CASC3	ATXN2	0.399
NES	MKI67	0.399
CDC25A	HJURP	0.398
PDLIM1	VIM	0.398
MSH6	PBRM1	0.398
BAZ1B	TCOF1	0.398
MPHOSPH8	UHRF1	0.398
KIF23	CEP170	0.398
TP53BP1	KMT2B	0.397
DNMT1	MPHOSPH8	0.397
TSC2	CREBBP	0.397
KIF23	FTSJ3	0.396
KIF23	HAUS6	0.396
THOC2	DDX50	0.396
KIF20B	CASP8AP2	0.396
MKI67	ORC1	0.396
DDX5	SCAF4	0.395
ANLN	NPM1	0.395
NUP214	DDX3X	0.395
PYGB	AHNAK	0.395
SF3B1	DHX30	0.394
FEN1	USP1	0.393
NPM1	ZRANB2	0.393
NCAPH	LIG1	0.393
KIF20B	HJURP	0.393
TACC3	SIPA1L1	0.393
UTP14A	RACGAP1	0.392
STIL	HAUS6	0.392
TRIM28	ADAR	0.392
NUP214	CDC5L	0.392
ARHGAP11A	GTSE1	0.392
TSC2	NUMA1	0.392
NASP	NUSAP1	0.391
TACC3	NGDN	0.391
KIF15	INCENP	0.391
SKA3	KIF20B	0.39
ZNF318	SMG7	0.39
SSRP1	UHRF1	0.39
SCAF4	GATAD2A	0.39
TRIM28	CHAMP1	0.39
CCAR2	TP53BP1	0.39
ANLN	CTNND1	0.389
ANLN	FTSJ3	0.389
TMPO	UHRF1	0.389
CCAR2	DHX30	0.389
UBAP2L	DDX3X	0.389
MED1	ASXL2	0.389
RAD18	SKA3	0.389
E2F7	NUSAP1	0.389
NCL	BCLAF1	0.388
KIF23	SSRP1	0.388
SSRP1	BAZ1B	0.388
SON	HP1BP3	0.388
TSC2	SYNRG	0.388
LEMD3	LMO7	0.388
DDX50	UTP14A	0.388
FTSJ3	CD3EAP	0.387
ORC1	GTSE1	0.387
MKI67	CTCF	0.387
NPM1	DNMT1	0.387
HJURP	DDX3X	0.387
TRIM28	DDX3X	0.387
CEP170	STIL	0.387
HAUS6	INCENP	0.387
RAD18	AKAP12	0.386
ANLN	STIL	0.386
KIF23	NPM1	0.386
RANBP2	DDX3X	0.386
SKA3	CDC27	0.386
NCAPG	LASP1	0.386
CUX1	ASPM	0.386
ANLN	FEN1	0.385
NUMA1	NUSAP1	0.385
CDC5L	RTF1	0.385
NCAPG	ORC1	0.384
CDC25B	BRCA1	0.384
ZNF609	BCLAF1	0.384
PRRC2C	ATXN2L	0.384
RANBP2	CLIP1	0.383
SSRP1	DEK	0.383
SON	CDC5L	0.383
TMPO	MKI67	0.383
TACC3	ARHGAP11A	0.382
SEC16A	PRRC2C	0.382
MAP1B	MKI67	0.382
EXOSC10	UBAP2L	0.382
CDCA8	NUMA1	0.382
SF3B1	SAP130	0.382
ARID5B	CTCF	0.382
NOLC1	DNTTIP2	0.382
RANBP2	HNRNPA1	0.381
TPR	NUMA1	0.381
SSRP1	SON	0.381
NASP	POLD3	0.381
RPA1	SSRP1	0.38
HNRNPA1	TPR	0.38
TSC2	MAP1B	0.38
NCL	MYO9B	0.38
TACC3	STIL	0.38
MKI67	RSL1D1	0.38
CKAP2L	KIF20B	0.38
SEC16A	PRRC2A	0.38
NASP	BRCA1	0.379
SCAF4	ATXN2L	0.379
PDLIM1	LMO7	0.379
TTK	CENPJ	0.379
NCAPH	ANKLE2	0.379
E2F7	ORC1	0.378
HNRNPA1	DNTTIP2	0.378
RRP1B	DHX30	0.378
BMS1	EIF2B4	0.378
SF3B1	DDX50	0.378
DHX30	CWC25	0.378
UHRF1	CTCF	0.377
KIF23	SF3B1	0.377
SF3B1	UBAP2L	0.377
PRRX1	NUP214	0.377
TMPO	CCAR2	0.377
TMPO	HNRNPA1	0.377
CDC5L	INCENP	0.377
CENPF	AHNAK	0.377
MGA	MED1	0.376
SSRP1	CDC27	0.376
MAP1B	NES	0.376
ZNF609	ADAR	0.376
SCAF4	RTF1	0.376
KIF23	MYO9B	0.376
DNMT1	MCMBP	0.376
KIF23	AKAP12	0.375
CDC25A	DEPDC1	0.375
TMPO	RB1	0.375
AHCTF1	NUMA1	0.374
RANBP2	SF3B1	0.374
CCDC137	FTSJ3	0.373
DDX5	NPM1	0.373
NCL	RSL1D1	0.373
NPM1	ASXL2	0.373
DDX5	NOLC1	0.373
MYBBP1A	CTCF	0.373
CDCA8	HAUS6	0.372
MSH6	NPM1	0.372
PDCL3	NCL	0.372
HCFC1	NUP214	0.372
CDCA8	BRCA1	0.371
EHD4	HJURP	0.371
THOC2	C19orf47	0.371
COIL	KIF23	0.371
NPM1	PSIP1	0.37
THOC2	DHX30	0.37
PPP1R13B	CDC5L	0.37
TP53BP1	SUN1	0.37
KIF23	LIG1	0.37
ADAR	STAU2	0.369
GPSM1	ATXN2	0.369
FOSL1	CTCF	0.369
CREBBP	ASXL2	0.369
E2F8	SKA3	0.368
NPM1	DDX50	0.367
BAZ1B	NUMA1	0.367
STIL	MYO9B	0.367
CDC25B	MKI67	0.367
CDC25B	CDC27	0.367
FEN1	TACC3	0.366
MGA	SAP130	0.366
RANBP2	DNTTIP2	0.366
E2F8	CKAP2L	0.366
BAZ1B	REPIN1	0.366
MKI67	TCOF1	0.366
NPM1	CENPF	0.366
TP53BP1	TNRC6A	0.366
TNRC6A	ATXN2	0.366
MED1	TEX10	0.366
FEN1	MCMBP	0.366
DDX5	ATXN2L	0.366
TMPO	TTK	0.365
LEMD3	SF3B1	0.365
PRRC2C	BAZ1A	0.365
E2F7	GTSE1	0.364
RAD18	RECQL	0.364
NUP214	NUMA1	0.364
TRAM1	CWF19L2	0.364
RRP1B	UHRF1	0.364
STIL	DCP1A	0.364
RAD18	UHRF1	0.364
SKA3	NOLC1	0.363
TACC3	NUMA1	0.363
NSD1	KMT2B	0.363
NCAPH	NPM1	0.363
PNN	ZRANB2	0.363
TNRC6A	SMG7	0.363
PPRC1	RRP1B	0.362
MSH6	CREBBP	0.362
DNMBP	SH3BP4	0.362
SKA3	E2F7	0.361
HNRNPA1	SON	0.361
PPRC1	FTSJ3	0.361
RPA1	HNRNPA1	0.361
C1orf131	ZC3H11A	0.361
ANLN	CKAP4	0.361
SON	ZC3H11A	0.361
PNN	ZC3H11A	0.361
NCAPH	CENPJ	0.361
ESPL1	LIG1	0.361
PRRC2A	KMT2B	0.36
DNTTIP2	BCLAF1	0.36
COIL	TP53BP1	0.36
KIF23	DDX50	0.36
PPRC1	HJURP	0.36
LEMD3	TPR	0.36
BCAR1	ABL2	0.36
RAD18	CDC25A	0.36
HNRNPA1	ZRANB2	0.36
MPHOSPH8	AHCTF1	0.36
NASP	ANLN	0.359
PRRX1	NES	0.359
HNRNPA1	HMGA1	0.359
USP1	NUSAP1	0.359
KIF23	HNRNPA1	0.359
TRIM28	NOSIP	0.358
TRIM28	SON	0.358
SSRP1	PSIP1	0.358
CDC25A	KIF18B	0.358
TMPO	DDX3X	0.358
KIF23	CKAP4	0.358
NASP	KIF20B	0.357
E2F8	TMPO	0.357
AKAP12	NGDN	0.356
AHCTF1	SUN1	0.356
NASP	HMMR	0.356
KDM5A	CTCF	0.356
SMG9	STAU2	0.356
ORC1	KIF20B	0.356
TMPO	HSPH1	0.355
TRIM28	STAU2	0.355
NGDN	DHX30	0.355
CENPF	DEK	0.355
LMO7	SUN1	0.355
KIF23	BCLAF1	0.355
NCL	HMGA1	0.355
THOC2	SSRP1	0.355
ASXL2	NSD1	0.355
SSRP1	SCAF4	0.355
FEN1	BMS1	0.354
DDX5	SURF6	0.354
FEN1	SKA3	0.354
NPM1	TTK	0.354
MPHOSPH8	NSD1	0.354
NCAPH	BRCA1	0.353
PBRM1	KMT2B	0.353
RAD18	TTK	0.353
CEP170	NUMA1	0.353
LMO7	BCLAF1	0.353
INCENP	UHRF1	0.352
DNMT1	KMT2B	0.352
BAZ1B	CTCF	0.352
KIF23	RSL1D1	0.351
TTK	HAUS6	0.351
COIL	EXOSC10	0.351
TPX2	CDC27	0.351
TNRC6A	GATAD2A	0.351
RASSF1	NUP214	0.351
TP53BP1	CDC27	0.35
TMPO	ASPM	0.35
E2F8	CCNL2	0.349
MPHOSPH8	WIZ	0.349
SAP130	GATAD2A	0.349
TMPO	GTSE1	0.349
KIF23	RRP1B	0.349
TMPO	TPX2	0.349
TMPO	RACGAP1	0.349
RSL1D1	CD3EAP	0.349
BRCA1	VIM	0.349
SSRP1	MPHOSPH8	0.348
POLD3	SSRP1	0.348
SPTY2D1	MKI67	0.348
TCOF1	RTF1	0.348
DNMT1	CCNL2	0.348
NUP214	STIL	0.348
TMPO	SEC16A	0.348
RRP1B	NUMA1	0.347
TMPO	MYBBP1A	0.347
TMPO	CTCF	0.347
CTCF	DEK	0.347
RB1	RASSF1	0.347
COIL	RANBP2	0.347
KIF23	MYBBP1A	0.347
CDC25B	DNMT1	0.347
SSRP1	DNMT1	0.347
ZNF318	DCP1A	0.346
RTF1	RBM17	0.346
TACC3	DEPDC1	0.346
SON	RBM17	0.346
COIL	TCOF1	0.346
CDC27	BCLAF1	0.345
HMMR	INCENP	0.345
TMPO	PBK	0.345
AHCTF1	BMS1	0.345
TP53BP1	CTCF	0.345
MSH6	RRP1B	0.345
SSRP1	PBRM1	0.345
TMPO	TACC3	0.345
ANLN	HSPH1	0.345
DLGAP5	RANBP2	0.345
