Protein_A	Protein_B	Score
ZNF609	ATXN2	0.256
NUP214	RTF1	0.256
SPAG9	CTNND1	0.256
BAZ1A	CTCF	0.256
MED1	CTCF	0.256
TRIM28	NASP	0.255
DNMT1	MYBBP1A	0.255
RPA1	RANBP2	0.255
RPA1	NCL	0.255
ZRANB2	CTCF	0.255
NOP2	DDX3X	0.255
LIG1	EXOSC10	0.255
MED1	DDX3X	0.255
DPF2	CDC5L	0.255
DPF2	HP1BP3	0.255
AHNAK	NUMA1	0.255
DHX30	EIF2B4	0.255
FEN1	DEK	0.255
SSRP1	GEMIN5	0.255
CDC5L	CD3EAP	0.254
RPA1	DNMT1	0.254
PROSER1	TNRC6A	0.254
PNN	DNTTIP2	0.254
TOB2	TNRC6A	0.254
ZNF609	WIZ	0.254
DNMT1	PSIP1	0.254
TRIM28	PIAS1	0.254
TUT1	CCAR2	0.254
RANBP2	ATXN2	0.254
HAUS6	PSIP1	0.254
NPM1	PBRM1	0.254
FEN1	GATAD2A	0.254
SCAF4	CDC27	0.254
SF3B1	RTF1	0.253
TTK	CASP8AP2	0.253
EHD4	EPN1	0.253
HMMR	NOLC1	0.253
DDX50	TEX10	0.253
STAU2	DCP1A	0.253
CCAR2	TPR	0.253
CENPJ	EPN1	0.253
LMO7	BCAR1	0.253
ANLN	USP1	0.253
PKN2	DDX3X	0.253
COIL	BMS1	0.253
HNRNPA1	DDX50	0.253
TMPO	RBM17	0.252
SCAF4	NUP214	0.252
DNMT1	EXOSC10	0.252
TP53BP1	NSD1	0.252
NOSIP	MCMBP	0.252
MGA	PTPN12	0.252
TNRC6A	NGDN	0.252
ANLN	UBAP2L	0.252
STRN	AHCTF1	0.252
COIL	ZRANB2	0.252
ZNF318	MAP7D1	0.252
CDC5L	CTCF	0.252
PCYT1A	ASXL2	0.252
NPM1	BAZ1B	0.251
CREBBP	UBAP2L	0.251
NPM1	SPTY2D1	0.251
CDC25A	USP1	0.251
SURF6	CTCF	0.251
KDM5A	GATAD2A	0.251
MAP7D1	NUMA1	0.251
HNRNPA1	SURF6	0.251
HCFC1	PRRC2A	0.251
RRP1B	ASPM	0.251
ZNF318	EXOSC10	0.251
TCOF1	TP53BP1	0.251
KIF15	CDC27	0.251
DDX5	RAD18	0.25
AHCTF1	HAUS6	0.25
ESPL1	ANKLE2	0.25
MED1	HSPH1	0.25
FEN1	CCNL2	0.25
PKN2	BAZ1A	0.25
TP53BP1	KDM5A	0.25
SON	DDX50	0.25
RAD18	NGDN	0.25
NUP214	ATXN2L	0.25
GRAMD1B	ESYT2	0.25
NCAPH	GATAD2A	0.25
ARID5B	TRPS1	0.25
SF3B1	BRCA1	0.249
DDX50	MYBBP1A	0.249
ATXN2L	DDX3X	0.249
MKI67	NUMA1	0.249
BRCA1	SMG7	0.249
CCAR2	UBAP2L	0.249
FEN1	UBAP2L	0.249
CRIPT	TRAM1	0.249
SURF6	INCENP	0.249
SEC16A	DCP1A	0.249
HCFC1	NCL	0.249
DLGAP5	POLD3	0.249
CCDC137	MYBBP1A	0.249
ZRANB2	ZC3H11A	0.249
DDX5	SMG1	0.249
ZNF318	ZBTB8A	0.248
SCAF4	SF3B1	0.248
SAP130	TCOF1	0.248
HMMR	DEK	0.248
UBAP2L	DHX30	0.248
TPR	TTK	0.248
TPR	HP1BP3	0.248
MKI67	CCNL2	0.248
NPM1	DNTTIP2	0.248
FOSL1	ABL2	0.247
PPFIBP1	NUMA1	0.247
ADAR	BRCA1	0.247
HNRNPA1	CTCF	0.247
NUMA1	WIZ	0.247
RTF1	CTCF	0.247
DLGAP5	CCNL2	0.247
CDC25B	RB1	0.247
CDC25B	TTK	0.247
RANBP2	PBRM1	0.247
LIG1	NUSAP1	0.246
MPHOSPH8	INCENP	0.246
THOC2	PBRM1	0.246
SORBS3	PDLIM1	0.246
TMPO	BCLAF1	0.246
FOSL1	CCNL2	0.246
NASP	TPR	0.246
KIF23	HCFC1	0.246
MSH6	HMMR	0.246
TRIM28	AMBRA1	0.246
SSRP1	TPR	0.245
TPR	RBM17	0.245
E2F8	PHLDA2	0.245
RPA1	CENPF	0.245
MAP7D1	HAUS6	0.245
PRRC2C	EIF2B4	0.245
CDC25A	HMGA1	0.245
CCAR2	ATXN2L	0.245
KIF15	NUMA1	0.245
SPTY2D1	SEC24A	0.245
SON	NSD1	0.245
TSC2	SH3BP4	0.245
MAP4	AHNAK	0.244
SEC16A	CWC25	0.244
CREBBP	SMG1	0.244
TSC2	NEDD4L	0.244
PDLIM1	MAP7D1	0.244
PSIP1	RTF1	0.244
RB1	CTCF	0.244
LEMD3	NUP214	0.244
GATAD2A	HP1BP3	0.244
RPA1	NUMA1	0.244
RANBP2	SAP130	0.244
KIF15	CLIP1	0.244
SF3B1	SMG1	0.244
LIG1	HMGA1	0.244
SON	UBAP2L	0.244
PRRX1	TRPS1	0.244
CDC25B	PBK	0.244
KIF23	CCNL2	0.244
CDC5L	DNTTIP2	0.244
CCAR2	NUP214	0.244
GEMIN5	NPM1	0.243
DDX5	CCNL2	0.243
SPAG9	RANBP2	0.243
NASP	RBM17	0.243
KIF23	DNMT1	0.243
PPRC1	RANBP2	0.243
TACC3	CASP8AP2	0.243
DDX5	CD3EAP	0.243
DHX30	DNTTIP2	0.243
COIL	SMG7	0.243
SURF6	SMG7	0.243
COIL	SCAF4	0.243
SEC16A	ATXN2	0.243
CDC27	CTCF	0.243
NCAPH	STK17A	0.242
HMMR	CCNL2	0.242
LIG1	USP1	0.242
HCFC1	NSD1	0.242
SPTY2D1	NOP2	0.242
ARHGEF17	PPFIBP1	0.242
NUP214	CDC27	0.242
CCAR2	RBM17	0.242
ESPL1	TP53BP1	0.242
WIZ	CTCF	0.242
DDX5	CWC25	0.242
UTP14A	DEK	0.242
AHCTF1	PBRM1	0.242
CASC3	LASP1	0.242
SPTY2D1	SON	0.242
TP53BP1	PBRM1	0.241
PNN	SMG1	0.241
TMPO	ORC1	0.241
MSH6	DDX3X	0.241
DDX50	DNTTIP2	0.241
HAUS6	BRCA1	0.241
CKAP2L	MAP4	0.241
SF3B1	BAZ1A	0.241
MED1	CDC5L	0.241
DDX5	CCAR2	0.241
RTF1	PBRM1	0.241
NCAPH	RANBP2	0.241
KDM5A	DEK	0.241
ARHGEF17	SYDE1	0.241
CCAR2	CTCF	0.241
BAZ1B	NSD1	0.24
PPRC1	SON	0.24
NUP214	RBM17	0.24
GEMIN5	MED1	0.24
TFAP4	ARID5B	0.24
E2F8	FOSL1	0.24
MPG	NPM1	0.24
PRRC2A	SMG7	0.24
CEP170	PBRM1	0.24
AHCTF1	TP53BP1	0.24
PSIP1	CTCF	0.24
PCYT1A	CEP170	0.24
RPA1	CDCA8	0.24
SEC16A	AHNAK	0.24
MED1	PRRC2C	0.239
POLD3	CASP8AP2	0.239
KIF23	POLD3	0.239
OSBPL8	TMPO	0.239
TSC2	SLC38A2	0.239
MICALL1	MSH6	0.239
PSIP1	FTSJ3	0.239
PSIP1	UBAP2L	0.239
TCOF1	CENPJ	0.239
DNMT1	CENPF	0.239
NCL	NUMA1	0.239
RAD18	PBK	0.239
DDX50	KDM5A	0.238
DHX30	CTCF	0.238
FOSL1	UBAP2L	0.238
TMPO	BRCA1	0.238
NCL	SON	0.238
LEMD3	VIM	0.238
TCOF1	UTP14A	0.238
RRP1B	REPIN1	0.238
ZRANB2	MAP7D1	0.238
CKAP2L	TACC3	0.238
PRRC2C	CTNND1	0.238
NUMA1	RACGAP1	0.238
PBRM1	HP1BP3	0.237
TACC3	MAP4	0.237
TMEM131	SEC24A	0.237
TCOF1	MYBBP1A	0.237
PNN	LEMD3	0.237
PPRC1	BMS1	0.237
MYBBP1A	GATAD2A	0.237
NPM1	DHX30	0.237
RAD18	RACGAP1	0.237
TMEM131	SEC16A	0.236
E2F7	DNMT1	0.236
FAM117B	ATXN2	0.236
CDCA8	NOLC1	0.236
CDCA8	CASP8AP2	0.236
PSIP1	BRCA1	0.236
BAZ1A	DEK	0.236
RANBP2	DDX50	0.236
RACGAP1	CDC27	0.236
ORC1	KMT2B	0.236
NCAPH	PMVK	0.236
NCL	UBAP2L	0.236
RAD18	KIF20B	0.236
SORBS3	TRIM28	0.236
SMG1	DHX30	0.236
SSRP1	RANBP2	0.236
ZNF609	TNRC6A	0.235
TSC2	KMT2B	0.235
TRPS1	SMG7	0.235
PRRC2C	KIF20B	0.235
CENPF	CASP8AP2	0.235
NES	HJURP	0.235
CDC5L	MYBBP1A	0.235
CDC25A	NUMA1	0.235
DNMBP	LMO7	0.235
MSH6	CENPF	0.235
CCAR2	NUMA1	0.235
PROSER1	SAP130	0.235
COIL	PSIP1	0.235
NUP214	PRRC2A	0.234
NCAPH	NOLC1	0.234
UBAP2L	SIPA1L1	0.234
PBRM1	CDC27	0.234
PRRC2C	SMG7	0.233
THOC2	BAZ1A	0.233
RANBP2	BRCA1	0.233
HNRNPA1	UTP14A	0.233
DDX5	MED1	0.233
COIL	PBRM1	0.233
CREBBP	ZNF609	0.233
SH3BP4	SIPA1L1	0.233
SSRP1	ZNF318	0.233
EXOSC10	RTF1	0.233
NASP	CDC25A	0.233
PRRC2A	CTNND1	0.233
RPA1	NOLC1	0.233
ANKLE2	SUN1	0.233
ANKLE2	CLIP1	0.232
ANKLE2	SMG1	0.232
TTK	RECQL	0.232
RTF1	UBAP2L	0.232
ANKLE2	MPHOSPH8	0.232
MPHOSPH8	UBAP2L	0.232
SF3B1	RSL1D1	0.232
DLGAP5	RPA1	0.232
MGA	NSD1	0.232
MSH6	NCL	0.232
TCOF1	BCLAF1	0.232
CDC5L	PBRM1	0.232
STAU2	DDX3X	0.232
TRIM28	WIZ	0.231
SCAF4	BAZ1B	0.231
RANBP2	SKA3	0.231
MAP7D1	VIM	0.231
SAV1	AKAP12	0.231
BAZ1B	SON	0.231
KIF20B	NUMA1	0.231
MSH6	TACC3	0.231
C1orf131	MAP7D1	0.231
TACC3	USP1	0.231
TPX2	AHCTF1	0.231
HNRNPA1	STAU2	0.231
MSH6	CDC27	0.231
TACC3	DEK	0.23
HNRNPA1	SMG1	0.23
TMPO	RANBP2	0.23
SSRP1	ZC3H11A	0.23
CTNND1	LIMCH1	0.23
HJURP	DEK	0.23
POLD3	CDCA8	0.23
ZNF318	ZRANB2	0.23
ESPL1	POM121	0.23
SPTY2D1	TPR	0.23
EIF2B4	DCP1A	0.23
WIZ	DEK	0.23
DLGAP5	LIG1	0.23
SCAF4	UBAP2L	0.23
TNRC6A	SMG1	0.23
RAD18	PSIP1	0.23
NSD1	UHRF1	0.23
BCAR1	CLIP1	0.23
DNMT1	HMGA1	0.23
ZFAND3	ZRANB2	0.229
PTPN12	CTNND1	0.229
MPHOSPH8	CDC27	0.229
TMPO	NOLC1	0.229
TPX2	SAP130	0.229
NUMA1	DHX30	0.229
TMEM131	THOC2	0.229
DDX5	RPA1	0.229
LASP1	GATAD2A	0.229
NUMA1	DNTTIP2	0.229
SON	AHCTF1	0.229
TRIM28	TCOF1	0.229
RAD18	NPM1	0.229
POLD3	HMMR	0.229
SSRP1	ADAR	0.229
PBRM1	BCLAF1	0.228
DDX50	DCP1A	0.228
HNRNPA1	ATXN2L	0.228
CASC3	HNRNPA1	0.228
CCNL2	NR4A1	0.228
NPM1	NUSAP1	0.228
NPM1	PBK	0.228
CDCA8	MYBBP1A	0.228
SCAF4	SON	0.228
TUT1	ZC3H11A	0.228
LIG1	PBK	0.228
GEMIN5	UBAP2L	0.228
NASP	SKA3	0.228
NASP	NOLC1	0.228
DDX50	ATXN2L	0.227
FTSJ3	HP1BP3	0.227
TACC3	NSD1	0.227
RIPK4	CDC27	0.227
PRRC2C	EPN1	0.227
STIL	INCENP	0.227
THOC2	KMT2B	0.227
BAZ1A	HMGA1	0.227
CDCA8	DDX50	0.227
MGA	SON	0.227
ATXN2L	DHX30	0.227
AHCTF1	KIF20B	0.227
NCL	SECISBP2L	0.227
NGDN	SMG1	0.227
LEMD3	ZNF318	0.227
NES	CTCF	0.227
RPA1	KIF23	0.227
MSH6	MKI67	0.227
BAZ1A	WIZ	0.227
RB1	ASPM	0.227
SPAG9	BAZ1A	0.227
DDX5	BAZ1A	0.226
PSIP1	PBRM1	0.226
BCAR1	DBNL	0.226
MKI67	DEK	0.226
AHCTF1	BCLAF1	0.226
GTSE1	DEK	0.226
SMG1	ZC3H11A	0.226
ADAR	CTCF	0.226
MED1	UBAP2L	0.226
STRN	PBRM1	0.226
DNMT1	BCLAF1	0.226
MAP1B	STAU2	0.226
RBM17	RSL1D1	0.226
OSBPL8	PMVK	0.226
LIG1	MKI67	0.226
PRRC2A	NOP2	0.226
PCYT1A	NUMA1	0.226
PRRC2C	ASXL2	0.226
PRRC2C	KMT2B	0.226
ATXN2L	KMT2B	0.226
TEX10	HAUS6	0.225
TEX10	CTCF	0.225
TCOF1	NUMA1	0.225
TCOF1	CTCF	0.225
TACC3	SEC24A	0.225
NPM1	CDCA8	0.225
THOC2	VIM	0.225
NOP2	GTSE1	0.225
GEMIN5	CENPJ	0.225
DDX50	GATAD2A	0.224
PPRC1	TPR	0.224
RPA1	NASP	0.224
ANLN	LIMCH1	0.224
TEX10	EIF2B4	0.224
DDX5	PRRC2C	0.224
USP1	NEDD4L	0.224
HCFC1	SF3B1	0.224
CREBBP	CCNL2	0.224
LMO7	LIMCH1	0.224
TMPO	CKAP2L	0.224
GEMIN5	NOP2	0.224
SSRP1	RBM17	0.224
ORC1	CCNL2	0.224
DDX50	WIZ	0.223
MYBBP1A	NUMA1	0.223
NCAPH	CDC5L	0.223
MPG	BRCA1	0.223
DNMT1	NUMA1	0.223
SUN1	CTCF	0.223
NCL	HSPH1	0.223
RAD18	CENPF	0.223
HCFC1	MPHOSPH8	0.223
DPF2	EXOSC10	0.223
COIL	SON	0.223
NR4A1	CTCF	0.223
CCDC137	SPTY2D1	0.223
DDX5	RBM17	0.223
HAUS6	HJURP	0.223
GEMIN5	SURF6	0.223
BAZ1A	GATAD2A	0.223
CEP170	ZC3H11A	0.223
MSH6	ABL2	0.222
CDCA8	TCOF1	0.222
DNMT1	NR4A1	0.222
ZNF318	MPHOSPH8	0.222
CTNND1	VIM	0.222
STIL	CASP8AP2	0.222
NPM1	HP1BP3	0.222
SON	GATAD2A	0.222
ANLN	LASP1	0.222
POLD3	TPX2	0.222
CCDC137	RSL1D1	0.222
TMPO	TP53BP1	0.222
AHCTF1	CDCA8	0.222
STRN	TACC3	0.222
PNN	CCAR2	0.222
MGA	BAZ1B	0.221
DPF2	CREBBP	0.221
CREBBP	FEN1	0.221
NPM1	UHRF1	0.221
TMPO	NUP214	0.221
THOC2	CWC25	0.221
CDC25B	KIF18B	0.221
LIG1	TPX2	0.221
MSH6	DLGAP5	0.221
CREBBP	NUMA1	0.221
STK17A	BCLAF1	0.221
CENPF	TPR	0.221
RANBP2	ADAR	0.22
ANLN	CCNL2	0.22
ZNF318	ASXL2	0.22
RANBP2	DNMT1	0.22
HCFC1	CTCF	0.22
HCFC1	HMGA1	0.22
FOSL1	MKI67	0.22
PRRC2A	NSD1	0.22
CCAR2	BAZ1A	0.22
CCAR2	ZC3H11A	0.22
NASP	ATXN2L	0.22
TRAM1	ANKLE2	0.22
RRP1B	MCMBP	0.22
MED1	EIF2B4	0.22
ANKLE2	CKAP4	0.22
TFAP4	FOSL1	0.22
TMPO	HAUS6	0.22
PNN	COIL	0.22
TRIM28	MED1	0.22
STRN	PKN2	0.22
MSH6	TPX2	0.22
TPR	PKN2	0.22
MSH6	PTPN12	0.22
GEMIN5	MYBBP1A	0.22
MSH6	HNRNPA1	0.22
MAP7D1	MYO9B	0.22
NES	BCAR1	0.22
PBK	RSL1D1	0.219
NOLC1	BCLAF1	0.219
NASP	RSL1D1	0.219
FEN1	STIL	0.219
MED1	CEP170	0.219
TMPO	PSIP1	0.219
INCENP	UBAP2L	0.219
CTNND1	RACGAP1	0.219
TRIM28	PPRC1	0.219
FOSL1	TTK	0.219
PDLIM1	LIMCH1	0.219
RBM17	BCLAF1	0.219
CREBBP	SCAF4	0.218
PTPN12	PIAS1	0.218
DDX5	CDCA8	0.218
BAZ1B	KIF20B	0.218
MPHOSPH8	DHX30	0.218
KMT2B	DDX3X	0.218
ARID5B	CUX1	0.218
CKAP4	VIM	0.218
E2F8	DNMT1	0.218
COIL	CDC27	0.218
TPX2	MAP4	0.218
HMMR	CDC27	0.218
CDCA8	BCAR1	0.218
RANBP2	FEN1	0.218
TEX10	MYBBP1A	0.218
MAP1B	ATXN2	0.218
RANBP2	HMMR	0.218
RANBP2	MPHOSPH8	0.218
SSRP1	TP53BP1	0.218
SEC16A	SAP130	0.217
BMS1	HSPH1	0.217
ANKLE2	TOR1AIP1	0.217
RPA1	FTSJ3	0.217
RAD18	UTP14A	0.217
RANBP2	TTK	0.217
DDX5	LEMD3	0.217
SAV1	SEC16A	0.217
SF3B1	EIF2B4	0.217
AHCTF1	ASPM	0.217
STIL	CTCF	0.217
CCDC137	HP1BP3	0.217
SKA3	FAM117B	0.216
PRRX1	NUMA1	0.216
THOC2	TRIM28	0.216
SAP130	AMBRA1	0.216
AHCTF1	NUSAP1	0.216
COIL	TPR	0.216
TRIM28	SMG1	0.216
INCENP	SYNRG	0.216
TUT1	SURF6	0.216
PPRC1	CCAR2	0.216
CDC5L	UBAP2L	0.216
TSC2	DNMT1	0.216
NUMA1	CTCF	0.216
NGDN	DCP1A	0.216
NASP	MPHOSPH8	0.216
SLC38A2	SLC26A6	0.216
CDC25A	FOSL1	0.216
MSH6	MED1	0.216
ABL2	VIM	0.216
CREBBP	PSIP1	0.216
CREBBP	RTF1	0.216
RANBP2	ATXN2L	0.216
ARHGEF17	MYO9B	0.216
RANBP2	SEC24A	0.216
VAC14	SLC26A6	0.216
MED1	SMG7	0.215
MPG	GTSE1	0.215
SAP130	SMG7	0.215
POLD3	DDX50	0.215
EIF2B4	RSL1D1	0.215
NUMA1	KIF18B	0.215
BAZ1B	HMGA1	0.215
NASP	SPTY2D1	0.215
CWF19L2	AMBRA1	0.215
FTSJ3	DHX30	0.215
PNN	PSIP1	0.215
COIL	FEN1	0.214
TSC2	NPM1	0.214
CASC3	CCAR2	0.214
PRRC2C	ADAR	0.214
PRRC2C	MAP7D1	0.214
USP1	MCMBP	0.214
SON	PBRM1	0.214
NUMA1	CCNL2	0.214
NPM1	RBM17	0.214
NES	CASP8AP2	0.214
NPM1	PRRC2C	0.214
AHNAK	CTNND1	0.214
TRIM28	KDM5A	0.214
LIG1	CENPF	0.214
TCOF1	PBRM1	0.214
TCOF1	DHX30	0.214
TRIM28	CDC25A	0.214
FTSJ3	HSPH1	0.214
COIL	UTP14A	0.213
RAD18	CDC5L	0.213
CDC27	HSPH1	0.213
MPHOSPH8	CHAMP1	0.213
ORC1	HAUS6	0.213
RRP1B	GULP1	0.213
THOC2	SLC38A2	0.213
NPM1	USP1	0.213
HNRNPA1	BMS1	0.213
MGA	PRRC2C	0.213
CENPJ	RACGAP1	0.213
VAC14	SCAF4	0.213
LEMD3	CCAR2	0.213
NCAPH	HCFC1	0.213
AHCTF1	SIPA1L1	0.213
RTF1	CD3EAP	0.213
WIZ	UHRF1	0.213
MAP4	DBNL	0.213
PPRC1	DNMT1	0.213
HYLS1	TOR1AIP1	0.213
RIPK4	SAP130	0.213
SORBS3	PTPN12	0.212
ZNF609	SYNRG	0.212
CASC3	ATXN2L	0.212
ATXN2L	DBNL	0.212
RB1	CENPF	0.212
CHAMP1	RFX7	0.212
MKI67	NR4A1	0.212
SSRP1	NUMA1	0.212
NUMA1	PBK	0.212
RANBP2	HAUS6	0.212
RPA1	INCENP	0.212
NCL	NUP214	0.212
UBAP2L	NSD1	0.212
TRIM28	PSIP1	0.212
TRIM28	HNRNPA1	0.212
KMT2B	AMBRA1	0.212
RANBP2	DEK	0.212
HNRNPA1	PRRC2C	0.212
NOP2	HP1BP3	0.211
RAD18	HMMR	0.211
SEC23IP	TEX10	0.211
KIF23	DEK	0.211
CDC5L	FTSJ3	0.211
EHD4	ARID5B	0.211
TSC2	CUX1	0.211
MED1	AMBRA1	0.211
CCDC137	UTP14A	0.211
DNTTIP2	EIF2B4	0.211
SLAIN2	PCYT1A	0.211
PNN	RTF1	0.211
THOC2	PSIP1	0.211
RIPK4	TCOF1	0.211
NPM1	AHCTF1	0.211
COIL	CD3EAP	0.211
TRPS1	CTCF	0.21
ASPM	VIM	0.21
RAD18	NEDD4L	0.21
DLGAP5	MAP7D1	0.21
TRIM28	DEK	0.21
THOC2	UTP14A	0.21
RAD18	STIL	0.21
SF3B1	MPHOSPH8	0.21
TACC3	PBRM1	0.21
TEX10	HP1BP3	0.21
ESPL1	CEP170	0.21
USP1	CDC27	0.21
NPM1	KDM5A	0.21
CREBBP	INCENP	0.21
NCAPG	SSRP1	0.209
LIG1	MPHOSPH8	0.209
TSC2	CDC27	0.209
CCDC137	ATXN2L	0.209
USP1	DDX50	0.209
FTSJ3	BCLAF1	0.209
CDC5L	ZC3H11A	0.209
TPR	TP53BP1	0.209
EXOSC10	SMG1	0.209
BAZ1B	LIMCH1	0.209
CEP170	TP53BP1	0.209
HCFC1	SAP130	0.209
MSH6	SUN1	0.209
TNRC6A	UBAP2L	0.209
SPAG9	MAP1B	0.209
TRPS1	SMG1	0.208
USP1	ASPM	0.208
NCL	DHX30	0.208
ZRANB2	DEK	0.208
POLD3	TEX10	0.208
ZFAND3	GPSM1	0.208
MSH6	HAUS6	0.208
PNN	NUMA1	0.208
PNN	TUT1	0.208
PRRC2A	GTSE1	0.208
ADAR	DHX30	0.208
DPF2	BAZ1B	0.208
THOC2	NPM1	0.208
SF3B1	PIAS1	0.208
TPR	UBAP2L	0.208
PRRX1	ATXN2	0.208
LMO7	MYO9B	0.208
MGA	DBNL	0.208
TEX10	BCLAF1	0.208
SLAIN2	BRCA1	0.207
RRP1B	SUN1	0.207
COIL	RTF1	0.207
RECQL	WIZ	0.207
CENPJ	PBK	0.207
ORC1	NUMA1	0.207
NOLC1	DHX30	0.207
ADD3	NEDD4L	0.207
KDM5A	WIZ	0.207
USP1	DNMT1	0.207
AHCTF1	TRPS1	0.207
RANBP2	ZNF318	0.207
RANBP2	PBK	0.207
LIG1	E2F7	0.207
NPM1	PRRC2A	0.207
OSBPL8	SEC23IP	0.206
MPHOSPH8	CTCF	0.206
NUMA1	UHRF1	0.206
RASAL2	PRRC2A	0.206
MAP4	EPN1	0.206
ESPL1	SYNRG	0.206
DPF2	CCAR2	0.206
NUMA1	FTSJ3	0.206
LIG1	DDX50	0.206
NPM1	CENPJ	0.206
STIL	NUMA1	0.206
TRIM28	NSD1	0.206
DDX5	CASC3	0.206
TUT1	NOP2	0.206
THOC2	PKN2	0.206
BAZ1B	TPR	0.206
MAP7D1	DBNL	0.206
RPA1	KIF20B	0.206
LMO7	DBNL	0.206
RAP1GAP2	SIPA1L1	0.206
NASP	RACGAP1	0.206
CWF19L2	CEP170	0.206
NCAPG	RB1	0.206
ORC1	PBRM1	0.206
SF3B1	PBRM1	0.206
DNMT1	SMG1	0.206
NES	NUSAP1	0.205
PRRC2A	DHX30	0.205
UTP14A	HP1BP3	0.205
CASC3	CTCF	0.205
MCMBP	TTK	0.205
ZBTB8A	CASP8AP2	0.205
MYBBP1A	INCENP	0.205
STRN	BCAR1	0.205
RANBP2	ANKLE2	0.205
PHLDA2	E2F7	0.205
FEN1	BAZ1B	0.205
SMG1	CLIP1	0.205
CRIPT	CENPJ	0.205
TPX2	CCNL2	0.205
TPX2	NOLC1	0.205
RASSF1	TPD52	0.205
RAP1GAP2	GRAMD1B	0.205
COIL	CWF19L2	0.205
AHNAK	CKAP4	0.205
COIL	SPTY2D1	0.205
TMPO	MCMBP	0.205
PBRM1	DDX3X	0.204
NES	CTNND1	0.204
CKAP4	SEC24A	0.204
SSRP1	BMS1	0.204
MED1	WIZ	0.204
STIL	HYLS1	0.204
KIF20B	GTSE1	0.204
GEMIN5	CDC25A	0.204
POLD3	DEK	0.204
NPM1	ADAR	0.204
ASPM	MAP7D1	0.204
CCAR2	BCLAF1	0.204
DDX5	HP1BP3	0.204
CDC25A	TCOF1	0.204
NCAPH	MCMBP	0.204
LIG1	CDC5L	0.204
NASP	RIPK4	0.204
NASP	ESPL1	0.204
CDCA8	UBAP2L	0.204
HNRNPA1	CCNL2	0.204
HNRNPA1	PSIP1	0.204
HCFC1	TP53BP1	0.204
GRAMD1B	SIPA1L1	0.204
CREBBP	TACC3	0.204
DDX50	UBAP2L	0.204
TSC2	SAV1	0.204
MAP1B	AHNAK	0.203
RACGAP1	CLIP1	0.203
POLD3	ANLN	0.203
TMPO	E2F7	0.203
HNRNPA1	SMG7	0.203
CDC25A	DEK	0.203
MPHOSPH8	HSPH1	0.203
HNRNPA1	NUMA1	0.203
ANLN	SYDE1	0.203
ARHGEF17	SAV1	0.203
MGA	CHAMP1	0.203
GULP1	ABL2	0.203
RANBP2	CCAR2	0.203
COIL	SSRP1	0.203
RAD18	DEPDC1	0.203
ANLN	ADD3	0.203
RB1	MKI67	0.203
NCAPG	GATAD2A	0.203
KIF23	PIAS1	0.203
THOC2	NCL	0.203
CDCA8	FTSJ3	0.202
NPM1	SKA3	0.202
SLC38A2	KIF20B	0.202
CDC27	WIZ	0.202
RAD18	RANBP2	0.202
AHCTF1	CDC5L	0.202
MPHOSPH8	NOP2	0.202
TPR	DEK	0.202
STK17A	TOB2	0.202
NCAPH	USP1	0.202
NASP	HCFC1	0.202
NASP	SF3B1	0.202
COIL	MED1	0.202
RB1	NUMA1	0.202
PBRM1	HMGA1	0.202
MYBBP1A	STAU2	0.202
RRP1B	FAM117B	0.202
NASP	PSIP1	0.202
CWF19L2	RSL1D1	0.202
INCENP	TOR1AIP1	0.202
CDC25B	STIL	0.202
ASXL2	BRCA1	0.202
SEC16A	CENPJ	0.202
NUP214	CLIP1	0.202
NOLC1	DDX3X	0.201
UBASH3B	INCENP	0.201
