Protein_A	Protein_B	Score
SSRP1	NUP214	0.201
SSRP1	SAP130	0.201
NES	AHNAK	0.201
TP53BP1	RTF1	0.201
NCL	EIF2B4	0.201
ADAR	UBAP2L	0.201
CKAP4	SUN1	0.201
STRN	LEMD3	0.201
ARHGEF17	RACGAP1	0.201
PTPN12	CDC25A	0.201
DDX5	EIF2B4	0.201
PDCL3	DDX3X	0.201
DDX5	LIG1	0.201
BRCA1	DDX3X	0.201
LMO7	CTNND1	0.201
AHNAK	AKAP12	0.201
SORBS3	SYDE1	0.201
LASP1	MAP7D1	0.201
RIPK4	BCLAF1	0.201
SAP130	MYBBP1A	0.2
NUP214	TP53BP1	0.2
LEMD3	DDX3X	0.2
POLD3	TACC3	0.2
TUT1	TNRC6A	0.2
MPHOSPH8	TCOF1	0.2
NOLC1	DBNL	0.2
HMGA1	CHAMP1	0.2
MAP7D1	ESYT2	0.2
GEMIN5	DCP1A	0.2
RIPK4	NSD1	0.2
PYGB	CDCA8	0.2
DDX50	ATXN2	0.2
ADAR	PIAS1	0.2
NCL	NGDN	0.2
SSRP1	FTSJ3	0.2
TRIM28	BCLAF1	0.2
RTF1	BCLAF1	0.2
NPM1	EIF2B4	0.2
SECISBP2L	CLIP1	0.2
LASP1	TRPS1	0.2
ZRANB2	DDX50	0.2
HCFC1	CDC5L	0.199
CCNL2	UHRF1	0.199
ZNF318	DDX3X	0.199
LEMD3	INCENP	0.199
EXOSC10	TNRC6A	0.199
MAP4	HYLS1	0.199
CASP8AP2	NUSAP1	0.199
SPAG9	SECISBP2L	0.199
MSH6	KDM5A	0.199
CASC3	NPM1	0.199
AHCTF1	HMGA1	0.199
TSC2	RASSF1	0.199
DHX30	STAU2	0.199
TTK	VIM	0.199
RRP1B	HAUS6	0.199
POLD3	UHRF1	0.199
PYGB	VIM	0.199
AHCTF1	FTSJ3	0.199
BAZ1B	PRRC2C	0.199
CENPF	PSIP1	0.199
LASP1	BRCA1	0.199
SEC16A	CUX1	0.199
CDC25B	HMMR	0.199
CREBBP	SF3B1	0.199
GEMIN5	HAUS6	0.199
RTF1	ATXN2L	0.199
CDCA8	CTCF	0.199
SSRP1	CDC25A	0.199
ZFAND3	CTCF	0.198
FEN1	PIAS1	0.198
PPFIBP1	PRRC2C	0.198
NCAPH	RAD18	0.198
CTCF	CHAMP1	0.198
NPM1	STAU2	0.198
NASP	GATAD2A	0.198
ZNF609	GATAD2A	0.198
STRN	ESYT2	0.198
STRN	AHNAK	0.198
NSD1	PIAS1	0.198
SMG7	SECISBP2L	0.198
SCAF4	AMBRA1	0.198
OSBPL8	PKN2	0.198
MAP4	UBAP2L	0.198
MYBBP1A	EIF2B4	0.198
KIF20B	HYLS1	0.198
HCFC1	KIF20B	0.198
TRIM28	GEMIN5	0.198
DNMT1	ORC1	0.198
HNRNPA1	NSD1	0.198
MPHOSPH8	DNTTIP2	0.198
DDX5	TCOF1	0.198
DDX5	PRRC2A	0.198
GATAD2A	HJURP	0.197
DDX50	RTF1	0.197
KMT2B	MYO9B	0.197
CUX1	TP53BP1	0.197
HP1BP3	TOR1AIP1	0.197
MSH6	NCAPG	0.197
MPHOSPH8	ESYT2	0.197
TSC2	DDX3X	0.197
SCAF4	PBRM1	0.197
POM121	DDX3X	0.197
CDC25A	RASSF1	0.197
TRPS1	PBRM1	0.197
ZFAND3	SECISBP2L	0.197
NES	TP53BP1	0.197
CREBBP	RANBP2	0.197
ZNF318	NOLC1	0.197
GEMIN5	TPX2	0.197
NCAPH	PRRC2C	0.197
DNMT1	INCENP	0.197
NOP2	UHRF1	0.197
SEC24A	ATXN2	0.197
KMT2B	UHRF1	0.197
CDCA8	KMT2B	0.196
MAP1B	HNRNPA1	0.196
NEDD4L	BCAR1	0.196
CCNL2	DDX3X	0.196
RIPK4	AHNAK	0.196
RRP1B	INCENP	0.196
POLD3	MED1	0.196
DDX5	RTF1	0.196
PSIP1	DDX3X	0.196
HP1BP3	DDX3X	0.196
PRRC2C	SYNRG	0.196
CENPJ	TP53BP1	0.196
MCMBP	HAUS6	0.196
LASP1	BCAR1	0.196
TRPS1	FTSJ3	0.196
SAV1	NEDD4L	0.196
CDC25B	HJURP	0.195
TSC2	PRRC2A	0.195
CDC25B	CREBBP	0.195
CREBBP	CTNND1	0.195
COIL	AHCTF1	0.195
SPTY2D1	ABL2	0.195
DLGAP5	DEK	0.195
MSH6	ANLN	0.195
GULP1	SH3BP4	0.195
RRP1B	DBNL	0.195
LIG1	AHCTF1	0.195
KIF15	DNMT1	0.195
MAP7D1	UBAP2L	0.195
PSIP1	VIM	0.195
KIF15	CDC5L	0.195
FEN1	RRP1B	0.195
GEMIN5	DDX50	0.195
USP1	RACGAP1	0.195
ADAR	ZRANB2	0.195
NPM1	INCENP	0.195
NOP2	BRCA1	0.195
INCENP	CHAMP1	0.195
NASP	HP1BP3	0.195
NASP	PKN2	0.195
MAP4	PDLIM1	0.195
PPP1R13B	SAV1	0.195
TMPO	UBAP2L	0.194
SAP130	MPHOSPH8	0.194
ATXN2L	TNRC6A	0.194
TFAP4	EHD4	0.194
ADAR	ZC3H11A	0.194
ASPM	NSD1	0.194
POLD3	MKI67	0.194
TPR	CTCF	0.194
DDX50	BCLAF1	0.194
DDX50	BAZ1A	0.194
RPA1	CKAP4	0.194
POLD3	AHCTF1	0.194
HMMR	LIMCH1	0.194
MAP4	VIM	0.194
TTK	CKAP4	0.194
DNTTIP2	DDX3X	0.194
RANBP2	UBAP2L	0.194
MPHOSPH8	TP53BP1	0.194
CKAP4	NUMA1	0.194
RAD18	NUSAP1	0.194
HNRNPA1	ZNF318	0.194
NCL	DNTTIP2	0.194
E2F8	HAUS6	0.194
SON	RTF1	0.194
NGDN	RBM17	0.194
HMGA1	BRCA1	0.194
UTP14A	GATAD2A	0.194
SLAIN2	ASXL2	0.194
SLAIN2	KIF18B	0.194
COIL	FTSJ3	0.194
MAP7D1	NOLC1	0.193
POLD3	UBAP2L	0.193
THOC2	LEMD3	0.193
TRIM28	NOP2	0.193
FOSL1	DNMBP	0.193
SMG1	ATXN2	0.193
DLGAP5	CLIP1	0.193
SSRP1	PRRC2A	0.193
E2F7	TRPS1	0.193
SSRP1	USP1	0.193
NUMA1	VIM	0.193
SLC38A2	LEMD3	0.193
BAZ1A	TRPS1	0.193
SON	MPHOSPH8	0.193
EXOSC10	HP1BP3	0.193
FEN1	SMG1	0.193
COIL	KIF15	0.193
NCAPG	LEMD3	0.193
GATAD2A	CHAMP1	0.193
PDCL3	SEC23IP	0.193
SON	KMT2B	0.193
BCAR1	SYNRG	0.193
BMS1	BAZ1A	0.193
NSD1	AMBRA1	0.193
SLAIN2	PKN2	0.193
SLAIN2	ZFAND3	0.193
MSH6	NOP2	0.193
HP1BP3	DEK	0.193
RB1	NCL	0.193
CREBBP	TPR	0.193
ARHGAP11A	SMG1	0.193
NCAPG	RRP1B	0.193
PPRC1	SCAF4	0.193
ZNF318	CTCF	0.192
NCL	CCNL2	0.192
NPM1	BCLAF1	0.192
NPM1	CD3EAP	0.192
COIL	INCENP	0.192
CWF19L2	SCAF4	0.192
CCAR2	AHCTF1	0.192
CDC27	CLIP1	0.192
LIG1	POM121	0.192
PPP1R14C	AKAP12	0.192
NUP214	SMG7	0.192
TDRKH	TNRC6A	0.192
TRIM28	NOLC1	0.192
SLAIN2	MAP4	0.192
MYBBP1A	DNTTIP2	0.192
DDX50	DEK	0.192
MSH6	RACGAP1	0.192
DPF2	EIF2B4	0.192
DDX5	FEN1	0.192
ARID5B	MYBBP1A	0.192
FOSL1	CENPF	0.191
PDLIM1	HP1BP3	0.191
ZFAND3	ZC3H11A	0.191
HCFC1	MYBBP1A	0.191
DHX30	CD3EAP	0.191
TFAP4	ZFAND3	0.191
SPTY2D1	CWC25	0.191
CDCA8	NSD1	0.191
DPF2	NUP214	0.191
TRPS1	NSD1	0.191
E2F7	CTCF	0.191
E2F7	TACC3	0.191
CKAP4	CLIP1	0.191
GEMIN5	CDC5L	0.191
CDC25B	DHX30	0.191
NES	BRCA1	0.191
LASP1	NUSAP1	0.191
NES	PBRM1	0.19
TMPO	DNMT1	0.19
ADAR	RBM17	0.19
ASPM	BAZ1A	0.19
ASPM	NES	0.19
MKI67	ZC3H11A	0.19
SSRP1	LMO7	0.19
TTK	NOLC1	0.19
MAP1B	NEDD4L	0.19
AHCTF1	SEC23IP	0.19
MED1	SEC23IP	0.19
NUP214	BCLAF1	0.19
SON	ADAR	0.19
STRN	RASAL2	0.19
HMGA1	CDC27	0.19
HNRNPA1	MYBBP1A	0.19
HMGA1	HP1BP3	0.19
CDC25B	PTPN12	0.19
MAP4	AKAP12	0.19
RRP1B	ORC1	0.19
RIPK4	BCAR1	0.19
RAD18	ASPM	0.19
MED1	HNRNPA1	0.19
MSH6	GEMIN5	0.19
CREBBP	BAZ1A	0.19
ANLN	MAP4	0.19
NASP	HAUS6	0.19
MPHOSPH8	PSIP1	0.19
PRRC2A	SECISBP2L	0.19
SEC16A	DHX30	0.189
BAZ1B	FTSJ3	0.189
SLC38A2	OSBPL8	0.189
KIF20B	RSL1D1	0.189
PRRX1	DEK	0.189
SAP130	ATXN2L	0.189
CENPJ	CLIP1	0.189
MKI67	HMGA1	0.189
ADD3	SH3BP4	0.189
PRRC2A	NUMA1	0.189
SEC16A	TNRC6A	0.189
TRAM1	PKN2	0.189
RPA1	UHRF1	0.189
NES	NUMA1	0.189
POLD3	CDC25A	0.189
SEC23IP	PKN2	0.189
DPF2	UBAP2L	0.189
VIM	NUSAP1	0.189
LIG1	HJURP	0.189
PPRC1	PBK	0.189
MSH6	CENPJ	0.189
MGA	SCAF4	0.189
MSH6	NUMA1	0.189
PNN	NOP2	0.188
CREBBP	ASPM	0.188
MGA	COIL	0.188
SMG7	ATXN2	0.188
BAZ1B	DHX30	0.188
USP1	MKI67	0.188
RACGAP1	MYO9B	0.188
NASP	CDC27	0.188
ADAR	DCP1A	0.188
TEX10	DHX30	0.188
TRIM28	UBAP2L	0.188
NCL	CCDC137	0.188
AHCTF1	ZC3H11A	0.188
PRRX1	DNMT1	0.188
RB1	TTK	0.188
DNMBP	UTP14A	0.188
ARHGAP11A	MYO9B	0.188
SSRP1	CENPF	0.188
THOC2	MPHOSPH8	0.188
RANBP2	RRP1B	0.188
HCFC1	ZNF609	0.188
ZFAND3	MAP1B	0.188
CUX1	VIM	0.188
NUMA1	STAU2	0.188
BRCA1	WIZ	0.188
CDCA8	NOP2	0.188
LIG1	STIL	0.187
RAD18	PBRM1	0.187
TPX2	ZNF318	0.187
RIPK4	AMBRA1	0.187
DPF2	ZBTB8A	0.187
MAP7D1	TEX10	0.187
RANBP2	CDC27	0.187
KMT2B	BRCA1	0.187
NPM1	NGDN	0.187
POM121	ATXN2L	0.187
CREBBP	TCOF1	0.187
CUX1	NSD1	0.187
CDC5L	EIF2B4	0.187
NUMA1	SYNRG	0.187
HCFC1	AMBRA1	0.187
EXOSC10	ESYT2	0.187
TCOF1	SIPA1L1	0.187
KIF23	AHCTF1	0.187
MPHOSPH8	SLC26A6	0.187
SPAG9	CTCF	0.187
ARID5B	DNMT1	0.187
SUN1	UBAP2L	0.187
ARID5B	GEMIN5	0.187
RPA1	NOP2	0.187
DDX5	TRAM1	0.187
NES	CDC27	0.187
CREBBP	ADAR	0.187
ANLN	CDC27	0.187
NPM1	E2F7	0.187
LIG1	CDC27	0.187
DHX30	HSPH1	0.187
TMPO	MPHOSPH8	0.187
MGA	PRRC2A	0.187
PRRC2C	SEC23IP	0.187
SCAF4	FEN1	0.187
STRN	SIPA1L1	0.187
DHX30	EPN1	0.187
MSH6	KIF20B	0.187
ORC1	TP53BP1	0.187
EPN1	DBNL	0.187
TSC2	CDC25A	0.187
CASC3	SON	0.187
POLD3	MPHOSPH8	0.186
INCENP	NOLC1	0.186
RPA1	TMPO	0.186
PNN	CHAMP1	0.186
PTPN12	CCAR2	0.186
RAD18	RTF1	0.186
CDC25A	CUX1	0.186
NES	HMMR	0.186
COIL	ESPL1	0.186
PIAS1	MYO9B	0.186
TPR	PIAS1	0.186
POM121	AMBRA1	0.186
NPM1	MYO9B	0.186
HCFC1	SEC16A	0.186
TTK	DEK	0.186
NCAPG	USP1	0.186
CDC5L	NUMA1	0.186
RAD18	MAP4	0.186
RPA1	RB1	0.186
SKA3	USP1	0.186
GATAD2A	CDC27	0.186
SEC23IP	SYNRG	0.186
ABI1	BCLAF1	0.186
NUP214	SMG1	0.186
RB1	HCFC1	0.186
GEMIN5	TCOF1	0.186
FEN1	NOP2	0.186
DDX50	RBM17	0.186
RANBP2	TP53BP1	0.186
PHC2	ZFAND3	0.186
RIPK4	SON	0.186
RIPK4	SMG1	0.186
NOP2	HMGA1	0.186
LEMD3	RBM17	0.186
E2F7	TP53BP1	0.185
MED1	TCOF1	0.185
CENPF	CDC27	0.185
RACGAP1	TOR1AIP1	0.185
HP1BP3	PIAS1	0.185
KIF23	DNMBP	0.185
FEN1	STK17A	0.185
ADD3	NUMA1	0.185
BAZ1B	PRRC2A	0.185
AHNAK	NSD1	0.185
NCAPG	CCAR2	0.185
NCAPG	CCNL2	0.185
NPM1	CDC27	0.185
SEC23IP	CDC5L	0.185
SF3B1	SEC24A	0.184
MAP1B	CCNL2	0.184
RB1	FOSL1	0.184
MGA	RANBP2	0.184
COIL	SUN1	0.184
BAZ1B	WIZ	0.184
TDRKH	GATAD2A	0.184
RPA1	MYBBP1A	0.184
NASP	CDC5L	0.184
DLGAP5	RRP1B	0.184
RANBP2	SPTY2D1	0.184
CENPF	RECQL	0.184
RIPK4	HSPH1	0.184
THOC2	BAZ1B	0.184
CREBBP	CDC5L	0.184
NASP	STIL	0.184
RANBP2	ASPM	0.184
COIL	SF3B1	0.184
PIAS1	DCP1A	0.184
MGA	TRIM28	0.184
LEMD3	PKN2	0.184
SCAF4	BMS1	0.184
TEX10	NOP2	0.184
CASC3	DDX3X	0.184
CDC25B	KIF15	0.184
RAD18	ORC1	0.184
SLC38A2	TPR	0.184
SYDE1	BCAR1	0.184
AKAP12	VIM	0.184
MPHOSPH8	KIF20B	0.183
RIPK4	CASP8AP2	0.183
MED1	BAZ1B	0.183
DDX50	STAU2	0.183
RB1	PBK	0.183
ARHGEF17	NSD1	0.183
CCAR2	TCOF1	0.183
NUP214	SYNRG	0.183
TP53BP1	INCENP	0.183
NUMA1	UTP14A	0.183
OSBPL8	CKAP4	0.183
MSH6	ARID5B	0.183
COIL	SURF6	0.183
HAUS6	CASP8AP2	0.183
MAP1B	SMG7	0.183
RTF1	KMT2B	0.183
NOLC1	PBK	0.183
PBRM1	SYNRG	0.183
COIL	NGDN	0.183
DDX5	CDC27	0.183
TSC2	CLIP1	0.183
DPF2	SCAF4	0.183
ADAR	CCNL2	0.183
TACC3	MYO9B	0.182
TACC3	ADAR	0.182
SPTY2D1	SAP130	0.182
NUMA1	CTNND1	0.182
ZNF318	SMG1	0.182
MCMBP	DHX30	0.182
MCMBP	NOP2	0.182
CDC27	DDX3X	0.182
CREBBP	CLIP1	0.182
RIPK4	INCENP	0.182
TPX2	HNRNPA1	0.182
SSRP1	RACGAP1	0.182
RB1	KIF20B	0.182
PTPN12	CENPJ	0.182
GATAD2A	SYNRG	0.182
SUN1	EIF2B4	0.182
NASP	UBAP2L	0.182
MED1	DNMT1	0.182
PRRC2A	BAZ1A	0.182
PPP1R13B	NOSIP	0.182
EXOSC10	BCAR1	0.181
ASXL2	ATXN2	0.181
NOLC1	EIF2B4	0.181
CCNL2	PBK	0.181
TUT1	AMBRA1	0.181
DNMT1	HJURP	0.181
RANBP2	RACGAP1	0.181
RB1	BAZ1A	0.181
TRIM28	TTK	0.181
SEC16A	AHCTF1	0.181
LEMD3	SPTY2D1	0.181
DNMT1	TTK	0.181
ARID5B	ASXL2	0.181
MSH6	PPRC1	0.181
HNRNPA1	ZC3H11A	0.181
C5orf30	TP53BP1	0.181
STRN	CCAR2	0.181
SMG9	ZNF609	0.181
PNN	PRRC2C	0.181
NUP214	DCP1A	0.181
PNN	DDX50	0.181
SCAF4	HP1BP3	0.181
SLC38A2	PHLDA2	0.181
CDC25B	TRIM28	0.181
PKN2	NEDD4L	0.18
RPA1	SON	0.18
BAZ1B	UBAP2L	0.18
NCAPH	BAZ1B	0.18
GATAD2A	DHX30	0.18
PRRC2C	DDX50	0.18
COIL	BCLAF1	0.18
CENPJ	NUSAP1	0.18
NASP	BCLAF1	0.18
ZNF318	DDX50	0.18
SMG9	SH3BP4	0.18
SMG9	EIF2B4	0.18
RRP1B	EIF2B4	0.18
MED1	NES	0.18
DLGAP5	RB1	0.18
RB1	HNRNPA1	0.18
RTF1	SMG7	0.18
E2F8	INCENP	0.18
LIG1	ANLN	0.18
UBAP2L	HSPH1	0.18
BRCA1	AMBRA1	0.18
PPP1R13B	PNN	0.18
ZFAND3	PRRC2A	0.179
ORC1	NOLC1	0.179
MED1	RTF1	0.179
SORBS3	DBNL	0.179
BRCA1	RSL1D1	0.179
MSH6	CCNL2	0.179
MYBBP1A	ESYT2	0.179
PPP1R14C	PDLIM1	0.179
LIG1	RTF1	0.179
MSH6	PDCL3	0.179
UTP14A	CDC27	0.179
DDX5	VIM	0.179
PKN2	ZC3H11A	0.179
EHD4	SYNRG	0.179
OSBPL8	BCLAF1	0.179
NPM1	RACGAP1	0.179
KIF23	FOSL1	0.179
CDC27	NUSAP1	0.179
SF3B1	EXOSC10	0.179
RACGAP1	DEK	0.179
COIL	BAZ1B	0.179
RANBP2	CENPJ	0.179
SEC23IP	ASXL2	0.179
TMPO	SKA3	0.179
ASPM	ASXL2	0.179
STK17A	TRPS1	0.179
PRRC2C	ATXN2	0.179
SSRP1	ORC1	0.179
HNRNPA1	FTSJ3	0.179
ADD3	ABI1	0.179
SSRP1	DDX50	0.179
TPR	CLIP1	0.179
PPP1R13B	CENPF	0.179
COIL	PIAS1	0.179
HAUS6	HMMR	0.178
ANLN	DEK	0.178
FEN1	CENPJ	0.178
MCMBP	BRCA1	0.178
CDC25B	SMG1	0.178
CDCA8	BMS1	0.178
MICALL1	NCL	0.178
DDX5	MSH6	0.178
MSH6	PRRC2C	0.178
MAP7D1	GATAD2A	0.178
RB1	MED1	0.178
NASP	SPAG9	0.178
MPHOSPH8	RTF1	0.178
MSH6	HCFC1	0.178
PRRX1	FOSL1	0.178
PNN	NCL	0.178
RAD18	CDCA8	0.178
PHLDA2	LIMCH1	0.178
RPA1	TACC3	0.178
ZFAND3	EPN1	0.178
RANBP2	AHNAK	0.178
KIF23	CLIP1	0.178
LEMD3	E2F7	0.178
THOC2	MYBBP1A	0.178
E2F8	LIG1	0.177
ZNF318	KMT2B	0.177
SON	NOLC1	0.177
NSD1	BCLAF1	0.177
CREBBP	ZNF318	0.177
SON	POM121	0.177
OSBPL8	RFX7	0.177
CDC5L	RSL1D1	0.177
NCAPG	DEK	0.177
CCNL2	RACGAP1	0.177
HNRNPA1	TCOF1	0.177
MSH6	SYNRG	0.177
ORC1	MYBBP1A	0.177
TRPS1	UBAP2L	0.177
FEN1	HCFC1	0.177
PNN	CTCF	0.177
MPHOSPH8	SYNRG	0.177
SCAF4	DDX50	0.177
CDC27	CD3EAP	0.177
SCAF4	ZC3H11A	0.177
CWF19L2	STAU2	0.177
SSRP1	MYBBP1A	0.177
POLD3	CDC5L	0.177
PKN2	BCAR1	0.177
TPX2	FTSJ3	0.177
TMEM131	STAU2	0.177
TMEM131	GRAMD1B	0.177
C1orf131	NOLC1	0.177
PPRC1	GATAD2A	0.177
RB1	NUSAP1	0.177
RPA1	NUSAP1	0.176
MSH6	FTSJ3	0.176
PNN	RANBP2	0.176
CTNND1	CLIP1	0.176
CEP170	INCENP	0.176
PSIP1	BCLAF1	0.176
TPX2	RIPK4	0.176
KIF20B	ABL2	0.176
RPA1	HMGA1	0.176
KIF23	MAP7D1	0.176
FOSL1	PBK	0.176
FOSL1	RIPK4	0.176
MPHOSPH8	ORC1	0.176
SON	DNTTIP2	0.176
TRIM28	KMT2B	0.176
CREBBP	AMBRA1	0.176
CENPF	BAZ1A	0.176
AHNAK	DDX3X	0.176
NCAPG	CREBBP	0.176
SSRP1	HMGA1	0.176
ZNF609	MYO9B	0.176
DDX5	KMT2B	0.176
CD3EAP	SYNRG	0.176
CDC25B	NPM1	0.176
GATAD2A	CD3EAP	0.176
TACC3	MYBBP1A	0.176
NASP	INCENP	0.176
LIG1	SKA3	0.176
SPAG9	PBK	0.176
GEMIN5	SEC23IP	0.176
DPF2	FEN1	0.176
SUN1	SMG7	0.176
BAZ1B	TEX10	0.175
TMPO	PBRM1	0.175
NR4A1	SECISBP2L	0.175
DNMBP	LIMCH1	0.175
RPA1	SMG7	0.175
COIL	TNRC6A	0.175
CENPJ	CCNL2	0.175
SAP130	NUP214	0.175
USP1	TOR1AIP1	0.175
KIF23	RB1	0.175
PPRC1	CD3EAP	0.175
TRIM28	VIM	0.175
ZFAND3	BCAR1	0.175
MSH6	NUSAP1	0.175
STRN	PCYT1A	0.175
PBRM1	UHRF1	0.175
MPHOSPH8	CENPJ	0.175
PTPN12	PPP1R14C	0.175
DNMT1	DDX3X	0.175
RBM17	CHAMP1	0.175
CUX1	ASXL2	0.175
SYDE1	SH3BP4	0.175
CUX1	BRCA1	0.175
RAD18	MKI67	0.175
RAD18	INCENP	0.175
ARHGEF17	ABI1	0.175
SF3B1	HP1BP3	0.175
TSC2	SIPA1L1	0.175
CDC25A	NCL	0.175
PRRC2C	HP1BP3	0.174
RBM17	DCP1A	0.174
TFAP4	CUX1	0.174
TMPO	RECQL	0.174
NCAPG	SLAIN2	0.174
CDC25B	FEN1	0.174
RANBP2	DHX30	0.174
GEMIN5	CHAMP1	0.174
SKA3	CLIP1	0.174
PNN	EXOSC10	0.174
TRIM28	CEP170	0.174
CDCA8	SLC26A6	0.174
SUN1	AMBRA1	0.174
HNRNPA1	VIM	0.174
THOC2	BRCA1	0.174
RANBP2	AMBRA1	0.174
BAZ1B	SURF6	0.174
BAZ1B	NOLC1	0.174
BMS1	ZC3H11A	0.174
CDC5L	BAZ1A	0.174
PDCL3	FEN1	0.174
SCAF4	HCFC1	0.174
CEP170	HMMR	0.174
SLAIN2	SEC16A	0.174
SEC24A	UBAP2L	0.174
NUP214	ZNF318	0.174
SEC24A	GPSM1	0.174
ESPL1	HAUS6	0.174
MAP4	DDX3X	0.174
FOSL1	CDCA8	0.174
MAP4	INCENP	0.174
LIG1	NCL	0.174
KIF20B	NSD1	0.174
CDC27	DEK	0.174
CREBBP	MKI67	0.174
MPHOSPH8	SMG1	0.174
CUX1	GATAD2A	0.174
CEP170	HP1BP3	0.174
STIL	ABL2	0.174
CDC5L	KIF20B	0.174
ABI1	CASP8AP2	0.174
FEN1	HAUS6	0.173
CDC5L	CDCA8	0.173
MSH6	RSL1D1	0.173
BMS1	UHRF1	0.173
MAP7D1	PRRC2A	0.173
CDC25B	E2F7	0.173
MED1	DNTTIP2	0.173
NSD1	HMGA1	0.173
FEN1	SMG7	0.173
E2F8	ARID5B	0.173
ATXN2L	SEC24A	0.173
ADAR	DDX50	0.173
DDX5	DBNL	0.173
DDX5	ZC3H11A	0.173
FTSJ3	RACGAP1	0.173
MPHOSPH8	UTP14A	0.173
LIG1	GTSE1	0.173
CREBBP	TTK	0.173
ADD3	MAP7D1	0.173
ESPL1	HNRNPA1	0.173
FOSL1	HMGA1	0.173
SON	CWC25	0.173
CEP170	AKAP12	0.173
ABI1	CTNND1	0.173
NEDD4L	BRCA1	0.173
HNRNPA1	MKI67	0.173
ASPM	CDC27	0.173
SAV1	TNRC6A	0.173
NASP	DEPDC1	0.173
BAZ1B	CDC5L	0.173
HCFC1	CCAR2	0.173
NUP214	EXOSC10	0.173
NPM1	ORC1	0.173
TACC3	HP1BP3	0.172
ABI1	NSD1	0.172
TMPO	GRAMD1B	0.172
GATAD2A	MYO9B	0.172
SUN1	DHX30	0.172
ZNF609	CUX1	0.172
MED1	MAP7D1	0.172
SF3B1	DCP1A	0.172
SF3B1	AHCTF1	0.172
RANBP2	PKN2	0.172
NCAPG	PKN2	0.172
SMG9	NSD1	0.172
CREBBP	NUSAP1	0.172
CASC3	UTP14A	0.172
TMPO	POM121	0.172
GEMIN5	AMBRA1	0.172
HCFC1	SON	0.172
RPA1	UBAP2L	0.172
GEMIN5	EXOSC10	0.172
CREBBP	POLD3	0.172
NUMA1	SECISBP2L	0.172
MKI67	TP53BP1	0.172
ORC1	AHNAK	0.172
SPTY2D1	CTCF	0.172
KIF20B	CTCF	0.172
VIM	MYO9B	0.172
TPR	TCOF1	0.172
PRRC2C	SEC24A	0.172
STIL	SMG7	0.172
COIL	ORC1	0.172
COIL	RIPK4	0.172
EPN1	WIZ	0.172
SMG7	SYNRG	0.172
AHCTF1	TOR1AIP1	0.172
DNMT1	KIF20B	0.172
CDC25B	PIAS1	0.172
PTPN12	NPM1	0.172
ZRANB2	ATXN2	0.172
RPA1	PBRM1	0.171
NUMA1	HMGA1	0.171
FEN1	CCAR2	0.171
RAD18	NCL	0.171
CWF19L2	RTF1	0.171
RPA1	SF3B1	0.171
CENPF	KMT2B	0.171
CDC25B	E2F8	0.171
PYGB	ESYT2	0.171
DNTTIP2	CDC27	0.171
AHNAK	BCLAF1	0.171
THOC2	ZNF318	0.171
THOC2	MED1	0.171
PNN	MPHOSPH8	0.171
ANLN	NR4A1	0.171
CCNL2	SUN1	0.171
PBK	CDC27	0.171
VAC14	EPN1	0.171
MED1	SPTY2D1	0.171
NASP	MCMBP	0.171
SON	CDC27	0.171
MSH6	VIM	0.171
DHX30	DCP1A	0.171
DPF2	TCOF1	0.171
SLC38A2	SF3B1	0.171
RIPK4	DNMT1	0.171
CEP170	CLIP1	0.171
TSC2	SEC24A	0.171
TACC3	BCAR1	0.171
DNMT1	ASXL2	0.171
MSH6	RBM17	0.171
ZNF318	NSD1	0.171
DDX50	PIAS1	0.171
SSRP1	KIF18B	0.171
RTF1	NSD1	0.171
